hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,149.00886,3657.92815212,8535.16568828,12342.1027004
2.0,0.0,114.6222,3251.9253474,7587.8258106,10954.373358
3.0,0.0,144.423972,2967.84206292,6924.96481348,10037.2308484
4.0,0.0,165.055968,2815.31317139,6569.06406657,9549.43320596
5.0,0.0,162.763524,2672.77738492,6236.48056482,9072.02147374
6.0,0.0,217.78218,2664.72808065,6217.69885485,9100.2091155
7.0,0.0,401.1777,2931.67340883,6840.57128727,10173.4223961
8.0,0.0,524.969676,3026.54387124,7061.93569956,10613.4492468
9.0,0.0,641.88432,3151.6058202,7353.7469138,11147.237054
10.0,0.0,882.59094,3096.03934512,7224.09180528,11202.7220904
11.0,0.0,1063.694016,3317.79261333,7741.51609777,12123.0027271
12.0,0.0,1150.806888,3076.16814027,7177.72566063,11404.7006889
13.0,0.0,1070.571348,2616.31889961,6104.7440991,9791.63434671
14.0,0.0,1029.307356,2432.51947341,5675.8787713,9137.70560071
15.0,0.0,930.732264,2224.69560641,5190.95641497,8346.38428538
16.0,0.0,777.138516,2412.68835977,5629.60617279,8819.43304856
17.0,0.0,646.469208,2765.19452962,6452.12056911,9863.78430673
18.0,0.0,451.611468,4217.6808591,9841.2553379,14510.547665
19.0,0.0,343.8666,4894.00547844,11419.3461164,16657.2181948
20.0,0.0,314.064828,4946.35030026,11541.4840339,16801.8991622
21.0,0.0,252.16884,5034.06220581,11746.1451469,17032.3761927
22.0,0.0,181.103076,4467.68763993,10424.6044932,15073.3952091
23.0,0.0,126.08442,3646.20171324,8507.80399756,12280.0901308
24.0,0.0,139.839084,3112.08510048,7261.53190112,10513.4560856
25.0,0.0,149.00886,2880.0339707,6720.07926497,9749.12209567
26.0,0.0,114.6222,2405.66808321,5613.2255275,8133.51581071
27.0,0.0,144.423972,2314.21148483,5399.82679794,7858.46225477
28.0,0.0,165.055968,2245.08892732,5238.54083041,7648.68572573
29.0,0.0,162.763524,2454.42573214,5726.99337501,8344.18263115
30.0,0.0,217.78218,2626.27413222,6127.97297517,8972.02928739
31.0,0.0,401.1777,3024.51514842,7057.20201298,10482.8948614
