hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,206.70741,6268.08618654,14625.5344353,21100.3280318
2.0,0.0,159.0057,5648.94197553,13180.8646096,18988.8122851
3.0,0.0,200.347182,5481.95898813,12791.237639,18473.5438091
4.0,0.0,228.968208,5231.98398006,12207.9626201,17668.9148082
5.0,0.0,225.788094,5241.93826908,12231.1892945,17698.9156576
6.0,0.0,302.11083,5780.93248794,13488.8424719,19571.8857898
7.0,0.0,556.51995,5857.58144088,13667.6900287,20081.7914196
8.0,0.0,728.246106,6049.44354246,14115.3682657,20893.0579142
9.0,0.0,890.43192,6794.4890286,15853.8077334,23538.728682
10.0,0.0,1224.34389,8170.17536172,19063.7425107,28458.2617624
11.0,0.0,1475.572896,7951.64198442,18553.831297,27981.0461774
12.0,0.0,1596.417228,8043.64464801,18768.5041787,28408.5660547
13.0,0.0,1485.113238,7372.95476886,17203.5611273,26061.6291342
14.0,0.0,1427.871186,7171.55269338,16733.6229512,25333.0468306
15.0,0.0,1291.126284,7617.17986263,17773.4196795,26681.7258261
16.0,0.0,1078.058646,7415.16020883,17302.0404873,25795.2593421
17.0,0.0,896.792148,8102.33403039,18905.4460709,27904.5722493
18.0,0.0,626.482458,10310.1787781,24057.0838156,34993.7450517
19.0,0.0,477.0171,10450.1854956,24383.7661565,35310.9687521
20.0,0.0,435.675618,10278.4744369,23983.1070193,34697.2570742
21.0,0.0,349.81254,9688.60660218,22606.7487384,32645.1678806
22.0,0.0,251.229006,9194.33885034,21453.4573175,30899.0251738
23.0,0.0,174.90627,7624.43772087,17790.354682,25589.6986729
24.0,0.0,193.986954,6038.87499972,14090.7083327,20323.5702864
25.0,0.0,206.70741,5217.49996221,12174.1665785,17598.3739507
26.0,0.0,159.0057,5035.90337364,11750.4412052,16945.3502788
27.0,0.0,200.347182,4923.65406039,11488.5261409,16612.5273833
28.0,0.0,228.968208,5253.40738458,12257.950564,17740.3261566
29.0,0.0,225.788094,5626.95331599,13129.5577373,18982.2991473
30.0,0.0,302.11083,6643.05897183,15500.4709343,22445.6407361
31.0,0.0,556.51995,6927.75837537,16164.7695425,23649.0478679
32.0,0.0,728.246106,7461.16848993,17409.3931432,25598.8077391
33.0,0.0,890.43192,8103.91885161,18909.1439871,27903.4947587
34.0,0.0,1224.34389,7786.18625061,18167.7679181,27178.2980587
35.0,0.0,1475.572896,8029.99549836,18736.6561628,28242.2245572
36.0,0.0,1596.417228,7576.94645922,17679.5417382,26852.9054254
37.0,0.0,1485.113238,6798.14141886,15862.3299773,24145.5846342
38.0,0.0,1427.871186,5587.94316672,13038.5340557,20054.3484084
39.0,0.0,1291.126284,6077.00808591,14179.6855338,21547.8199037
40.0,0.0,1078.058646,6227.94358728,14531.8683703,21837.8706036
41.0,0.0,896.792148,7473.99943944,17439.3320254,25810.1236128
42.0,0.0,626.482458,9351.05692455,21819.1328239,31796.6722065
43.0,0.0,477.0171,9796.02552213,22857.392885,33130.4355071
44.0,0.0,435.675618,9680.42382411,22587.6555896,32703.7550317
45.0,0.0,349.81254,9253.39531533,21591.2557358,31194.4635911
46.0,0.0,251.229006,8700.07563234,20300.1764755,29251.4811138
47.0,0.0,174.90627,7756.15388568,18097.6923999,26028.7525556
48.0,0.0,193.986954,6897.97497303,16095.2749371,23187.2368641
49.0,0.0,206.70741,5575.69611498,13009.9576016,18792.3611266
50.0,0.0,159.0057,5081.3290122,11856.4343618,17096.769074
51.0,0.0,200.347182,4873.91949153,11372.4788136,16446.7454871
52.0,0.0,228.968208,5019.35878851,11711.8371732,16960.1641697
53.0,0.0,225.788094,5094.30610956,11886.7142556,17206.8084592
54.0,0.0,302.11083,6341.23332711,14796.2110966,21439.5552537
55.0,0.0,556.51995,6373.76704128,14872.1230963,21802.4100876
56.0,0.0,728.246106,7135.60175847,16649.7374364,24513.5853009
57.0,0.0,890.43192,8022.12845277,18718.2997231,27630.8600959
58.0,0.0,1224.34389,7986.00589821,18634.0137625,27844.3635507
59.0,0.0,1475.572896,6676.92143436,15579.4833468,23731.9776772
60.0,0.0,1596.417228,6586.58266551,15368.6928862,23551.6927797
61.0,0.0,1485.113238,6648.07834368,15512.1828019,23645.3743836
62.0,0.0,1427.871186,6639.93053766,15493.1712545,23560.9729782
63.0,0.0,1291.126284,6598.81983234,15397.2462755,23287.1923918
64.0,0.0,1078.058646,6343.28964369,14801.0091686,22222.3574583
65.0,0.0,896.792148,7177.37519868,16747.2087969,24821.3761436
66.0,0.0,626.482458,9210.54573588,21491.2733837,31328.3015776
67.0,0.0,477.0171,9314.72173845,21734.350723,31526.0895615
68.0,0.0,435.675618,9491.58168945,22147.0239421,32074.2812495
69.0,0.0,349.81254,9540.5267616,22261.2291104,32151.568412
70.0,0.0,251.229006,8390.80262649,19578.5394618,28220.5710943
71.0,0.0,174.90627,8039.29817244,18758.3624024,26972.5668448
72.0,0.0,193.986954,6278.3050953,14649.3785557,21121.670605
73.0,0.0,206.70741,5501.31110721,12836.3925835,18544.4111007
74.0,0.0,159.0057,5138.27777499,11989.3148083,17286.5982833
75.0,0.0,200.347182,4865.0684637,11351.8264153,16417.242061
76.0,0.0,228.968208,4832.03690415,11274.7527764,16335.7578885
77.0,0.0,225.788094,4944.82260228,11537.9194053,16708.5301016
78.0,0.0,302.11083,5365.58704854,12519.7031133,18187.4009918
79.0,0.0,556.51995,5819.44460973,13578.7040894,19954.6686491
80.0,0.0,728.246106,6561.44145951,15310.0300722,22599.7176377
81.0,0.0,890.43192,7203.39438927,16807.9202416,24901.7465509
82.0,0.0,1224.34389,7539.24817041,17591.5790643,26355.1711247
83.0,0.0,1475.572896,7581.44238294,17690.0322269,26747.0475058
84.0,0.0,1596.417228,7326.98186847,17096.2910264,26019.6901229
85.0,0.0,1485.113238,6725.2253646,15692.1925174,23902.53112
86.0,0.0,1427.871186,7240.96205157,16895.5781203,25564.4113579
87.0,0.0,1291.126284,6891.73731768,16080.7204079,24263.5840096
88.0,0.0,1078.058646,7497.45742554,17494.0673263,26069.5833978
89.0,0.0,896.792148,8247.45187404,19244.0543728,28388.2983948
90.0,0.0,626.482458,10237.738385,23888.0562316,34752.2770746
91.0,0.0,477.0171,10514.9313704,24534.8398642,35526.7883346
92.0,0.0,435.675618,9531.49991817,22240.1664757,32207.3420119
93.0,0.0,349.81254,8923.63623717,20821.8178867,30095.2666639
94.0,0.0,251.229006,7963.70555901,18581.9796377,26796.9142027
95.0,0.0,174.90627,7511.9018919,17527.7710811,25214.579243
96.0,0.0,193.986954,6552.08538633,15288.1992348,22034.2715751
97.0,0.0,206.70741,6140.71159542,14328.327056,20675.7460614
98.0,0.0,159.0057,5270.39032407,12297.5774228,17726.9734469
99.0,0.0,200.347182,5088.98361222,11874.2950952,17163.6258894
100.0,0.0,228.968208,4968.64491732,11593.5048071,16791.1179324
101.0,0.0,225.788094,5138.95296963,11990.8902625,17355.6313261
102.0,0.0,302.11083,5801.73566766,13537.3832245,19641.2297222
103.0,0.0,556.51995,5887.98644688,13738.6350427,20183.1414396
104.0,0.0,728.246106,6751.32352002,15753.0882134,23232.6578394
105.0,0.0,890.43192,7906.87855731,18449.3833004,27246.6937777
106.0,0.0,1224.34389,8390.77020897,19578.4638209,29193.5779199
107.0,0.0,1475.572896,7519.71369207,17545.9986148,26541.2852029
108.0,0.0,1596.417228,6972.62831151,16269.4660602,24838.5115997
109.0,0.0,1485.113238,7072.19218389,16501.7817624,25059.0871843
110.0,0.0,1427.871186,7383.58466832,17228.3642261,26039.8200804
111.0,0.49803275479,1291.126284,6948.67894929,16213.584215,24453.8874811
112.0,12.8243434358,1078.058646,7100.67096771,16568.232258,24759.7862151
113.0,0.0,896.792148,7290.80632728,17011.8814303,25199.4799056
114.0,0.0,626.482458,9937.4959485,23187.4905465,33751.468953
115.0,0.0,477.0171,10225.6920924,23859.9482156,34562.657408
116.0,0.0,435.675618,10070.2561059,23497.264247,34003.1959709
117.0,0.0,349.81254,9038.54570847,21089.9399864,30478.2982349
118.0,0.0,251.229006,8282.89283523,19326.7499489,27860.8717901
119.0,0.0,174.90627,6722.82203592,15686.5847505,22584.3130564
120.0,0.0,193.986954,5718.37266036,13342.8695408,19255.2291552
121.0,0.0,206.70741,4686.9186174,10936.1434406,15829.769468
122.0,0.0,159.0057,4349.11864215,10147.9434983,14656.0678405
123.0,0.0,200.347182,4649.92506615,10849.8251544,15700.0974025
124.0,0.0,228.968208,4830.46069371,11271.074952,16330.5038537
125.0,0.0,225.788094,5123.2654788,11954.2861172,17303.33969
126.0,0.0,302.11083,6108.35523051,14252.8288712,20663.2949317
127.0,0.0,556.51995,7252.85410905,16923.3262544,24732.7003135
128.0,0.0,728.246106,6402.19757223,14938.4610019,22068.9046801
129.0,0.0,890.43192,6755.86720962,15763.6901558,23409.9892854
130.0,0.0,1224.34389,7030.01561664,16403.3697722,24657.7292788
131.0,0.0,1475.572896,6919.18218006,16144.7584201,24539.5134962
132.0,0.0,1596.417228,6243.41180862,14567.9608868,22407.7899234
