hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,149.02888,3481.52474232,8123.55773208,11754.1113544
2.0,0.0,114.6376,2969.97414651,6929.93967519,10014.5514217
3.0,0.0,144.443376,2657.14113852,6199.99598987,9001.58050439
4.0,0.0,165.078144,2713.0875952,6330.53772212,9208.70346132
5.0,0.0,162.785392,2543.1058248,5933.91359119,8639.80480799
6.0,0.0,217.81144,2548.13891771,5945.65747467,8711.60783238
7.0,0.0,401.2316,2554.42138001,5960.31655335,8915.96953336
8.0,0.0,525.040208,2953.89480057,6892.42120133,10371.3562099
9.0,0.0,641.97056,2834.30926266,6613.38827954,10089.6681022
10.0,0.0,882.70952,2921.15833746,6816.03612074,10619.9039782
11.0,0.0,1063.836928,2875.51811142,6709.54225998,10648.8972994
12.0,0.0,1150.961504,2513.95355995,5865.89163987,9530.80670382
13.0,0.0,1070.715184,2402.74972764,5606.41603117,9079.88094281
14.0,0.0,1029.445648,2223.41515783,5187.96870159,8440.82950742
15.0,0.0,930.857312,2251.28861802,5253.00677537,8435.15270539
16.0,0.0,777.242928,2400.68492306,5601.59815382,8779.52600488
17.0,0.0,646.556064,2654.02371771,6192.72200799,9493.3017897
18.0,0.0,451.672144,3857.28880185,9000.34053765,13309.3014835
19.0,0.0,343.9128,4371.5240706,10200.2228314,14915.659702
20.0,0.0,314.107024,4642.84976988,10833.3161297,15790.2729236
21.0,0.0,252.20272,4930.24347777,11503.9014481,16686.3476459
22.0,0.0,181.127408,4097.43511161,9560.68192709,13839.2444467
23.0,0.0,126.10136,3467.11077177,8089.92513413,11683.1372659
24.0,0.0,139.857872,2763.32113445,6447.74931373,9350.92832018
25.0,0.0,149.02888,2389.8191464,5576.24467492,8115.09270132
26.0,0.0,114.6376,2239.82304565,5226.25377317,7580.71441882
27.0,0.0,144.443376,2230.052778,5203.456482,7577.952636
28.0,0.0,165.078144,2190.72260278,5111.68607315,7467.48681993
29.0,0.0,162.785392,2280.0591953,5320.13812238,7762.98270968
30.0,0.0,217.81144,2514.17073435,5866.39838014,8598.38055449
31.0,0.0,401.2316,2519.21029196,5878.1573479,8798.59923986
32.0,0.0,525.040208,2578.58730454,6016.70371061,9120.33122315
33.0,0.0,641.97056,2782.11422121,6491.59984948,9915.68463069
34.0,0.0,882.70952,2778.65635245,6483.53148905,10144.8973615
35.0,0.0,1063.836928,2637.00541957,6153.01264567,9853.85499325
36.0,0.0,1150.961504,2252.63644022,5256.15169386,8659.74963808
37.0,51.236355369,1070.715184,2037.92215748,4755.1517008,7915.02539765
38.0,35.6577338041,1029.445648,1866.89358918,4356.08504142,7288.0820124
39.0,74.5287028608,930.857312,1817.30816467,4240.38571757,7063.0798971
40.0,68.271057266,777.242928,1788.95630193,4174.23137118,6808.70165838
41.0,51.236355369,646.556064,2068.49415444,4826.48636037,7592.77293418
42.0,0.0,451.672144,3424.65589185,7990.86374765,11867.1917835
43.0,0.0,343.9128,3974.91312171,9274.79728399,13593.6232057
44.0,0.0,314.107024,3922.78086225,9153.15534525,13390.0432315
45.0,0.0,252.20272,3923.23358214,9154.21169166,13329.6479938
46.0,0.0,181.127408,3843.50496054,8968.17824126,12992.8106098
47.0,0.0,126.10136,3642.58568625,8499.36660125,12268.0536475
48.0,0.0,139.857872,2944.92694459,6871.49620403,9956.28102062
49.0,0.0,149.02888,2730.32993197,6370.76984126,9250.12865323
50.0,0.0,114.6376,2581.74222446,6024.06519041,8720.44501487
51.0,0.0,144.443376,2343.80486419,5468.87801644,7957.12625663
52.0,0.0,165.078144,2216.40596013,5171.61390696,7553.09801109
53.0,0.0,162.785392,2321.89813046,5417.76230442,7902.44582688
54.0,0.0,217.81144,2673.65565529,6238.52986234,9129.99695763
55.0,0.0,401.2316,2580.93318885,6022.17744066,9004.34222951
56.0,0.0,525.040208,2694.49355664,6287.15163216,9506.6853968
57.0,0.0,641.97056,2801.58386303,6537.02901373,9980.58343676
58.0,0.0,882.70952,2807.24063181,6550.22814089,10240.1782927
59.0,1.38476636132,1063.836928,2583.43167307,6028.00723716,9676.66060459
60.0,35.6577338041,1150.961504,2465.98580423,5753.96687653,9406.57191856
61.0,223.363061525,1070.715184,2541.18485271,5929.431323,9764.69442123
62.0,130.768922308,1029.445648,2122.98320368,4953.62747526,8236.82524925
63.0,186.58701596,930.857312,1929.38932213,4501.9084183,7548.74206839
64.0,183.575781265,777.242928,2068.2702007,4825.96380162,7855.05271158
65.0,58.8845888738,646.556064,2517.03242441,5873.07565695,9095.54873423
66.0,0.0,451.672144,3327.5001912,7764.1671128,11543.339448
67.0,0.0,343.9128,3688.04232147,8605.43208343,12637.3872049
68.0,0.0,314.107024,3933.56165325,9178.31052425,13425.9792015
69.0,0.0,252.20272,3851.39652132,8986.59188308,13090.1911244
70.0,0.0,181.127408,3898.98356292,9097.62831348,13177.7392844
71.0,0.0,126.10136,3476.38987239,8111.57636891,11714.0676013
72.0,0.0,139.857872,3178.81057344,7417.22467136,10735.8931168
73.0,0.0,149.02888,2917.56935531,6807.66182905,9874.26006435
74.0,0.0,114.6376,2870.72066237,6698.34821221,9683.70647458
75.0,0.0,144.443376,2661.53209516,6210.24155538,9016.21702654
76.0,0.0,165.078144,2433.05680309,5677.13254053,8275.26748762
77.0,0.0,162.785392,2340.95346169,5462.22474395,7965.96359764
78.0,0.0,217.81144,2428.42159857,5666.31706332,8312.55010189
79.0,0.0,401.2316,2366.76771767,5522.45800789,8290.45732556
80.0,0.0,525.040208,2735.17255516,6382.06929538,9642.28205855
81.0,0.0,641.97056,3106.46944623,7248.42870787,10996.8687141
82.0,0.0,882.70952,2988.26642361,6972.62165509,10843.5975987
83.0,0.0,1063.836928,2711.47774911,6326.78141459,10102.0960917
84.0,0.0,1150.961504,2314.628404,5400.79960934,8866.38951734
85.0,33.9980898232,1070.715184,2315.49048982,5402.81114292,8823.01490656
86.0,68.3365496881,1029.445648,2699.98616076,6299.96770844,10097.7360669
87.0,96.4304624427,930.857312,2277.67790916,5314.58178804,8619.54747164
88.0,93.3016396453,777.242928,2438.48070816,5689.78831903,8998.81359484
89.0,26.4211702892,646.556064,2730.98630644,6372.3013817,9776.26492244
90.0,0.0,451.672144,3531.94231368,8241.19873192,12224.8131896
91.0,0.0,343.9128,3929.39960049,9168.59906781,13441.9114683
92.0,0.0,314.107024,3761.16177228,8776.04413532,12851.3129316
93.0,0.0,252.20272,3982.29964653,9292.03250857,13526.5348751
94.0,0.0,181.127408,3974.62510401,9274.12524269,13429.8777547
95.0,0.0,126.10136,3867.77009394,9024.79688586,13018.6683398
96.0,0.0,139.857872,3472.42864008,8102.33349352,11714.6200056
97.0,0.0,149.02888,3052.77942825,7123.15199925,10324.9603075
98.0,0.0,114.6376,2794.00218234,6519.33842547,9427.97820781
99.0,0.0,144.443376,2727.56306091,6364.31380878,9236.32024569
100.0,0.0,165.078144,2599.99829603,6066.66269075,8831.73913078
101.0,0.0,162.785392,2624.71253895,6124.32925754,8911.82718849
102.0,0.0,217.81144,2742.00640729,6398.01495033,9357.83279762
103.0,0.0,401.2316,2701.47893105,6303.45083913,9406.16137018
104.0,0.0,525.040208,2856.13253328,6664.30924432,10045.4819856
105.0,0.0,641.97056,2990.36233872,6977.51212368,10609.8450224
106.0,0.0,882.70952,2461.82188925,5744.25107491,9088.78248416
107.0,0.0,1063.836928,2489.64605636,5809.17413152,9362.65711588
108.0,0.0,1150.961504,2457.62152569,5734.4502266,9343.03325629
109.0,43.3845582155,1070.715184,2387.30002716,5570.36673003,9071.76649941
110.0,90.23830927,1029.445648,2081.71134881,4857.32648056,8058.72178664
111.0,121.461044822,930.857312,1925.38486822,4492.56469253,7470.26791757
112.0,74.6727861896,777.242928,1791.08601246,4179.20069575,6822.2024224
113.0,20.1635246944,646.556064,2542.37265719,5932.20286677,9141.29511265
114.0,0.0,451.672144,3485.33607426,8132.45083994,12069.4590582
115.0,0.0,343.9128,4116.43201686,9605.00803934,14065.3528562
116.0,0.0,314.107024,4238.81890704,9890.57744976,14443.5033808
117.0,0.0,252.20272,3964.6343952,9250.8135888,13467.650704
118.0,0.0,181.127408,3810.73088709,8891.70540321,12883.5636983
119.0,0.0,126.10136,3410.72937036,7958.36853084,11495.1992612
120.0,0.0,139.857872,2979.29100603,6951.67901407,10070.8278921
121.0,0.0,149.02888,2582.39997322,6025.59993752,8757.02879074
122.0,0.0,114.6376,2424.65012548,5657.51695944,8196.80468492
123.0,0.0,144.443376,2313.38947274,5397.90876973,7855.74161847
124.0,0.0,165.078144,2330.20567247,5437.1465691,7932.43038557
125.0,0.0,162.785392,2430.72690859,5671.69612005,8265.20842064
126.0,0.0,217.81144,2956.46799339,6898.42531791,10072.7047513
127.0,0.0,401.2316,2991.74778564,6980.74483316,10373.7242188
128.0,0.0,525.040208,2786.83526249,6502.61561248,9814.49108297
129.0,0.0,641.97056,2660.39882474,6207.59725772,9509.96664246
130.0,0.0,882.70952,2505.26262122,5845.61278286,9233.58492408
131.0,0.0,1063.836928,2295.24035877,5355.56083712,8714.63812389
132.0,0.0,1150.961504,2028.59986008,4733.39967353,7912.96103761
133.0,0.0,1070.715184,2009.34221289,4688.4651634,7768.52256029
134.0,0.0,1029.445648,1826.60023806,4262.06722214,7118.1131082
135.0,0.0,930.857312,1736.79507025,4052.52183058,6720.17421283
136.0,0.0,777.242928,1683.40006541,3927.93348595,6388.57647936
137.0,0.0,646.556064,2160.36625363,5040.85459179,7847.77690942
138.0,0.0,451.672144,3248.33356344,7579.44498136,11279.4506888
139.0,0.0,343.9128,4071.8954316,9501.0893404,13916.897572
140.0,0.0,314.107024,4177.21289769,9746.83009461,14238.1500163
141.0,0.0,252.20272,4075.16388312,9508.71572728,13836.0823304
142.0,0.0,181.127408,4054.73057565,9461.03800985,13696.8959935
143.0,0.0,126.10136,3691.63242516,8613.80899204,12431.5427772
144.0,0.0,139.857872,3195.96032409,7457.24075621,10793.0589523
