Demand 03/01/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day ahead forecast,21973,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20864,20108,20108,20108,20108,20108,20108,20108,20108,20108,20108,20108,20108,19690,19690,19690,19690,19690,19690,19690,19690,19690,19690,19690,19690,19586,19586,19586,19586,19586,19586,19586,19586,19586,19586,19586,19586,20059,20059,20059,20059,20059,20059,20059,20059,20059,20059,20059,20059,21531,21531,21531,21531,21531,21531,21531,21531,21531,21531,21531,21531,23537,23537,23537,23537,23537,23537,23537,23537,23537,23537,23537,23537,24538,24538,24538,24538,24538,24538,24538,24538,24538,24538,24538,24538,24009,24009,24009,24009,24009,24009,24009,24009,24009,24009,24009,24009,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23447,23006,23006,23006,23006,23006,23006,23006,23006,23006,23006,23006,23006,22553,22553,22553,22553,22553,22553,22553,22553,22553,22553,22553,22553,22277,22277,22277,22277,22277,22277,22277,22277,22277,22277,22277,22277,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22371,22537,22537,22537,22537,22537,22537,22537,22537,22537,22537,22537,22537,22884,22884,22884,22884,22884,22884,22884,22884,22884,22884,22884,22884,23625,23625,23625,23625,23625,23625,23625,23625,23625,23625,23625,23625,24859,24859,24859,24859,24859,24859,24859,24859,24859,24859,24859,24859,26884,26884,26884,26884,26884,26884,26884,26884,26884,26884,26884,26884,26827,26827,26827,26827,26827,26827,26827,26827,26827,26827,26827,26827,26133,26133,26133,26133,26133,26133,26133,26133,26133,26133,26133,26133,25048,25048,25048,25048,25048,25048,25048,25048,25048,25048,25048,25048,23626,23626,23626,23626,23626,23626,23626,23626,23626,23626,23626,23626,22103,22103,22103,22103,22103,22103,22103,22103,22103,22103,22103,22103
Hour ahead forecast,20961,20746,20746,20746,20552,20552,20552,20281,20281,20281,20034,20034,20034,19831,19831,19831,19667,19667,19667,19578,19578,19578,19457,19457,19457,19324,19324,19324,19234,19234,19234,19260,19260,19260,19219,19219,19219,19103,19103,19103,19107,19107,19107,19069,19069,19069,19144,19144,19144,19368,19368,19368,19545,19545,19545,19722,19722,19722,19995,19995,19995,20421,20421,20421,20858,20858,20858,21270,21270,21270,21697,21697,21697,22459,22459,22459,22926,22926,22926,23295,23295,23295,23693,23693,23693,23905,23905,23905,24068,24068,24068,24108,24108,24108,23992,23992,23992,24102,24102,24102,24043,24043,24043,23940,23940,23940,23786,23786,23786,23634,23634,23634,23545,23545,23545,23461,23461,23461,23202,23202,23202,22980,22980,22980,22845,22845,22845,22619,22619,22619,22407,22407,22407,22421,22421,22421,22358,22358,22358,22304,22304,22304,22180,22180,22180,22031,22031,22031,22011,22011,22011,22201,22201,22201,22274,22274,22274,22518,22518,22518,22612,22612,22612,22416,22416,22416,22523,22523,22523,22247,22247,22247,22292,22292,22292,22066,22066,22066,22032,22032,22032,22175,22175,22175,22281,22281,22281,22585,22585,22585,22842,22842,22842,23059,23059,23059,23327,23327,23327,23802,23802,23802,24016,24016,24016,24161,24161,24161,24480,24480,24480,24971,24971,24971,25604,25604,25604,26366,26366,26366,26849,26849,26849,26778,26778,26778,26487,26487,26487,26339,26339,26339,26192,26192,26192,26065,26065,26065,25995,25995,25995,25844,25844,25844,25638,25638,25638,25496,25496,25496,25316,25316,25316,25053,25053,25053,24795,24795,24795,24566,24566,24566,24189,24189,24189,23803,23803,23803,23452,23452,23452,22998,22998,22998,22504,22504,22504,22096,22096,22096,21756,21756,21756,21462,21462,21462,21089,21089,21089
Demand (5 min. avg.),20774,20701,20680,20590,20508,20414,20325,20316,20217,20116,20038,19975,19954,19913,19877,19799,19786,19741,19661,19596,19511,19447,19408,19396,19387,19405,19424,19450,19427,19367,19291,19250,19267,19230,19151,19069,19020,18970,19014,18961,18974,19016,19040,19058,19060,19116,19128,19158,19233,19236,19260,19370,19449,19537,19595,19633,19758,19811,19895,19948,19996,20236,20470,20585,20678,20810,20905,21121,21245,21356,21461,21626,21829,22089,22404,22626,22860,22976,23155,23240,23325,23389,23419,23521,23627,23826,23924,24043,24132,24077,24064,24073,24079,24055,24061,24062,24053,24116,24100,24075,24029,23958,24042,23945,23876,23815,23812,23698,23641,23694,23711,23559,23479,23465,23402,23287,23223,23251,23186,23064,22936,22865,22805,22804,22702,22611,22592,22626,22640,22600,22522,22442,22341,22391,22371,22265,22193,22209,22378,22315,22316,22306,22164,22124,22039,22068,22082,22219,22277,22232,22145,22166,22213,22312,22451,22396,22389,22348,22331,22296,22329,22416,22311,22213,22184,22268,22319,22272,22131,22137,22059,21977,21967,21943,21852,21836,21905,21928,22142,22140,22202,22339,22308,22375,22446,22557,22617,22682,22707,22788,22880,22910,22905,23066,23245,23281,23385,23434,23479,23571,23654,23716,23865,23911,24010,24127,24260,24357,24502,24669,24825,24980,25135,25342,25568,25753,25992,26111,26276,26487,26569,26596,26566,26581,26562,26547,26537,26506,26472,26420,26454,26442,26395,26357,26324,26292,26245,26206,26153,26102,25994,25989,25981,25918,25856,25797,25750,25663,25611,25535,25450,25380,25289,25192,25115,25056,24944,24864,24765,24647,24519,24412,24297,24201,24073,23882,23697,23549,23389,23258,23122,22980,22859,22747,22591,22455,22300,22200,22082,21918,21787,21685,21584,21462,21358,21267,21148,21062,
