Demand 10/05/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day ahead forecast,23306,21860,21860,21860,21860,21860,21860,21860,21860,21860,21860,21860,21860,20942,20942,20942,20942,20942,20942,20942,20942,20942,20942,20942,20942,20386,20386,20386,20386,20386,20386,20386,20386,20386,20386,20386,20386,20028,20028,20028,20028,20028,20028,20028,20028,20028,20028,20028,20028,20121,20121,20121,20121,20121,20121,20121,20121,20121,20121,20121,20121,20660,20660,20660,20660,20660,20660,20660,20660,20660,20660,20660,20660,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21826,21826,21826,21826,21826,21826,21826,21826,21826,21826,21826,21826,21626,21626,21626,21626,21626,21626,21626,21626,21626,21626,21626,21626,21407,21407,21407,21407,21407,21407,21407,21407,21407,21407,21407,21407,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282,21282,21225,21225,21225,21225,21225,21225,21225,21225,21225,21225,21225,21225,21441,21441,21441,21441,21441,21441,21441,21441,21441,21441,21441,21441,22193,22193,22193,22193,22193,22193,22193,22193,22193,22193,22193,22193,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,24517,24517,24517,24517,24517,24517,24517,24517,24517,24517,24517,24517,25801,25801,25801,25801,25801,25801,25801,25801,25801,25801,25801,25801,26975,26975,26975,26975,26975,26975,26975,26975,26975,26975,26975,26975,27734,27734,27734,27734,27734,27734,27734,27734,27734,27734,27734,27734,28208,28208,28208,28208,28208,28208,28208,28208,28208,28208,28208,28208,27196,27196,27196,27196,27196,27196,27196,27196,27196,27196,27196,27196,25985,25985,25985,25985,25985,25985,25985,25985,25985,25985,25985,25985,24486,24486,24486,24486,24486,24486,24486,24486,24486,24486,24486,24486,22997,22997,22997,22997,22997,22997,22997,22997,22997,22997,22997,22997
Hour ahead forecast,22256,21900,21900,21900,21653,21653,21653,21360,21360,21360,21068,21068,21068,20842,20842,20842,20674,20674,20674,20482,20482,20482,20355,20355,20355,20240,20240,20240,20079,20079,20079,19969,19969,19969,19834,19834,19834,19719,19719,19719,19681,19681,19681,19581,19581,19581,19562,19562,19562,19674,19674,19674,19716,19716,19716,19761,19761,19761,19842,19842,19842,20001,20001,20001,20146,20146,20146,20282,20282,20282,20461,20461,20461,20872,20872,20872,21092,21092,21092,21291,21291,21291,21305,21305,21305,21266,21266,21266,21312,21312,21312,21340,21340,21340,21363,21363,21363,21593,21593,21593,21588,21588,21588,21492,21492,21492,21423,21423,21423,21423,21423,21423,21361,21361,21361,21195,21195,21195,21081,21081,21081,21099,21099,21099,20983,20983,20983,20933,20933,20933,20828,20828,20828,20778,20778,20778,20756,20756,20756,20789,20789,20789,20774,20774,20774,20787,20787,20787,20858,20858,20858,20920,20920,20920,21033,21033,21033,21091,21091,21091,21253,21253,21253,21345,21345,21345,21534,21534,21534,21703,21703,21703,21929,21929,21929,22254,22254,22254,22601,22601,22601,22890,22890,22890,23160,23160,23160,23548,23548,23548,23849,23849,23849,24064,24064,24064,24425,24425,24425,24836,24836,24836,25154,25154,25154,25629,25629,25629,25923,25923,25923,25621,25621,25621,25800,25800,25800,26170,26170,26170,26393,26393,26393,26749,26749,26749,27173,27173,27173,27308,27308,27308,27272,27272,27272,27083,27083,27083,26858,26858,26858,26567,26567,26567,26283,26283,26283,25948,25948,25948,25653,25653,25653,25391,25391,25391,25162,25162,25162,24880,24880,24880,24586,24586,24586,24264,24264,24264,23902,23902,23902,23479,23479,23479,23093,23093,23093,22660,22660,22660,22317,22317,22317,21996,21996,21996,21642,21642,21642
Demand (5 min. avg.),22015,21984,21925,21836,21748,21646,21531,21394,21314,21206,21144,21067,20997,20947,20938,20856,20797,20721,20645,20609,20525,20509,20435,20361,20322,20271,20216,20164,20124,20086,19997,19982,19901,19883,19797,19797,19747,19772,19755,19750,19668,19664,19647,19625,19633,19628,19623,19619,19623,19682,19698,19707,19740,19728,19735,19749,19759,19787,19799,19817,19812,19966,20062,20116,20185,20234,20264,20291,20365,20397,20456,20508,20561,20734,20848,20958,21067,21095,21154,21229,21252,21252,21253,21243,21261,21313,21407,21422,21416,21444,21458,21467,21462,21440,21406,21423,21456,21526,21593,21602,21604,21590,21564,21522,21534,21453,21426,21412,21415,21412,21425,21386,21330,21291,21251,21210,21174,21167,21129,21053,21005,21021,21054,21029,21001,20988,20961,20934,20907,20882,20852,20831,20828,20794,20795,20797,20765,20772,20781,20767,20768,20771,20779,20771,20763,20793,20771,20772,20769,20797,20827,20861,20895,20922,20930,20991,20980,20998,21007,21087,21091,21162,21192,21265,21312,21396,21494,21544,21612,21665,21746,21802,21871,21956,22044,22149,22257,22398,22512,22595,22690,22787,22866,22986,23037,23068,23159,23285,23423,23553,23664,23793,23895,23943,24086,24279,24487,24622,24724,24848,25268,25325,25200,25245,25453,25558,25522,25446,25414,25477,25532,25624,25776,25887,25916,25971,26006,26047,26116,26458,26506,26537,26612,26688,26715,26840,26962,27060,27142,27210,27203,27210,27193,27178,27092,27035,26979,26948,26858,26778,26707,26605,26486,26408,26287,26223,26139,26007,25928,25827,25746,25677,25603,25524,25464,25412,25300,25271,25202,25088,24978,24885,24777,24653,24489,24311,24149,24034,23901,23797,23655,23530,23413,23298,23142,23029,22883,22756,22576,22477,22353,22251,22118,22011,21907,21790,21667,21568,
