,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan Hourly Avg,0.2675648591470883,0.2696526968367493,0.2745398098906412,0.2768533574592773,0.2787333278782424,0.2800787290875861,0.27871501544079086,0.266629486330417,0.1992879231612156,0.1351039260969977,0.11749454829956886,0.10789957030206111,0.10611609752742528,0.10833404382300282,0.13303839137818968,0.20471180423276136,0.30022467350956555,0.32943852250985906,0.32737063149634144,0.32505847215604206,0.33172512299634976,0.33952485360922197,0.33795806632240405,0.336090184015178
Feb Hourly Avg,0.3165226208295109,0.3184239891934523,0.3223543881377507,0.3228670448202905,0.3188128755654581,0.3037199539148688,0.31085032541040036,0.30008611030763654,0.24015390758285238,0.21393765591849107,0.21117323348655348,0.21914879677807544,0.21948422465876033,0.23200233475622195,0.2372453274962115,0.26837037346478404,0.30487653012113075,0.304803594778415,0.3026666951341888,0.2902717398035646,0.28635448505300387,0.28812514703981923,0.29009249264503567,0.28072582931669976
Mar Hourly Avg,0.2572720368065469,0.26094806074727744,0.2648057862761832,0.2558008982035928,0.25218640081586785,0.25140132347216815,0.2683944401258032,0.26714487740880205,0.22949240741831436,0.18445620481970446,0.17052001171735146,0.17386909834039743,0.18937219730941704,0.20701451046736075,0.20739016864117685,0.19610881605477992,0.2303834714368066,0.2786275473451059,0.29581106920828615,0.3017538301949494,0.2977313945718922,0.29369391469232015,0.29552457762148426,0.28471016910394775
Apr Hourly Avg,0.26667266341479373,0.2673412922721226,0.26422986233919343,0.26958967816101964,0.2689730959018028,0.2735740338121206,0.2941452813678941,0.284019458657162,0.2287635156690129,0.18131408961071874,0.16277349044339334,0.1559309416385185,0.14967964136565504,0.15447768365847964,0.16100058306679654,0.18789559704818978,0.2127173671121261,0.23805258659568496,0.2902331380436502,0.3085045102824939,0.301418032086255,0.28466332193977634,0.27728129205921936,0.2729425760495125
May Hourly Avg,0.21173533566853095,0.1959567549271257,0.19332179115825315,0.19497845887186152,0.19712942401392583,0.2173191365673811,0.23254454531521224,0.1944303123218072,0.1513120854675034,0.13222599273679822,0.12204353970269931,0.11450970967471771,0.11088050430390946,0.11813671383676627,0.11975044935685236,0.12293859991623066,0.13329204514175613,0.14902581005289597,0.20371530019367332,0.26899422427054503,0.2795360890437147,0.26652310594152784,0.24206186405910418,0.2292132692399219
Jun Hourly Avg,0.2275333330859405,0.2248389733401642,0.22139383457116696,0.22238311010140097,0.22460140472270276,0.23142568417579246,0.23173877912628324,0.16826069709949235,0.11980455413912988,0.10260641597322191,0.10079261893200081,0.09024120693927154,0.09015011293763332,0.09471473438794581,0.08777745801923285,0.08931851135814403,0.0968744662681469,0.13244907502787834,0.1684308122664287,0.2064991350723479,0.22520608770400055,0.23541659437137802,0.22614324215379594,0.2164486074827477
Jul Hourly Avg,0.2158028014379062,0.2133784294431703,0.20403697913231716,0.20444293467527236,0.21224330900243307,0.22714625874346678,0.2226840541083648,0.1693265459400818,0.12680436130397665,0.11996340487172645,0.12850045448319658,0.12976949785099193,0.12374728321966573,0.1240705179110296,0.1240556770069458,0.1305263658032483,0.1404034681699129,0.15609177293580254,0.19256947825531015,0.24589048803971342,0.2679148479975496,0.25682158801652566,0.24502578796561605,0.23542809100149326
Aug Hourly Avg,0.3257096086728233,0.32720284669523847,0.3217091128050032,0.3229561337037973,0.32319677785752615,0.32275609544236644,0.3198820119069969,0.2758472536245574,0.22041167401798842,0.1990032154340836,0.19776577706216783,0.1991666735742133,0.2040631741919008,0.2062843294410806,0.20911431303087152,0.2184689241635551,0.22862857523834923,0.24515498165452004,0.2811248499294559,0.3220116045475461,0.3257308752686747,0.3211349984192223,0.3138861649523253,0.3040910815506229
Sep Hourly Avg,0.3144536163992956,0.3149633608140486,0.31430292080698585,0.31073585646162344,0.30949209495291785,0.3119321968657445,0.31818913149962996,0.2844589079576412,0.22500708643400397,0.19953742021807333,0.18105131537613414,0.19163788057885858,0.20473835923721634,0.21572066286923708,0.22988934274389913,0.23811444872117069,0.25369217572973024,0.27046159611901144,0.30903783996105477,0.3261798558243516,0.324209587729393,0.32209891195461815,0.3221218944549647,0.3213128264525398
Oct Hourly Avg,0.34712965279831365,0.3508337892808716,0.35145684128097626,0.35421738805288044,0.3627583806694592,0.3650846265477139,0.3656179129516295,0.3440665397640835,0.2588328610152784,0.19715055833654216,0.17685482703153313,0.17285884195527504,0.16898893712365215,0.1681590878281695,0.17918704343720832,0.19613854794380237,0.22498443216315092,0.29951073711886794,0.3608654144418444,0.3658785522835792,0.3624405860143449,0.36123578814877755,0.36626023004696423,0.36693061527538
Nov Hourly Avg,0.34563308053169556,0.3442651264419524,0.34390898463868813,0.3437572647869549,0.3414809314554905,0.3424265214187501,0.34942344158395544,0.3527757804010589,0.30473616209946836,0.24794323680720926,0.22397246698019713,0.2246662941348442,0.22141215597615888,0.22880970209517099,0.23415535670962312,0.23546232533723815,0.26632828864596786,0.33849814354654567,0.35227658851512067,0.35306432847759167,0.3559391812865497,0.3584795245588254,0.3566825247552138,0.3601759988750282
