Supply 11/04/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,1354,1342,1348,1353,1356,1359,1363,1363,1363,1364,1363,1369,1373,1381,1386,1388,1390,1382,1379,1380,1378,1379,1379,1385,1390,1397,1401,1401,1405,1399,1393,1395,1394,1395,1398,1396,1391,1382,1379,1381,1385,1389,1388,1390,1390,1385,1387,1395,1397,1392,1390,1392,1399,1404,1401,1399,1403,1402,1402,1397,1390,1377,1365,1364,1362,1354,1357,1358,1352,1347,1351,1356,1359,1358,1355,1371,1420,1497,1614,1769,1959,2193,2471,2792,3142,3508,3878,4272,4702,5115,5485,5554,5898,6288,6748,7283,7718,7770,8424,8734,8729,8824,8830,8929,8785,8423,8625,8975,9137,8862,9018,9078,9191,9211,9223,9208,9152,9118,9386,9467,9523,9636,9616,9621,9603,9597,9605,9655,9655,9648,9639,9634,9630,9619,9612,9608,9564,9539,9533,9535,9541,9570,9435,9443,9532,9566,9579,9588,9599,9604,9602,9615,9631,9635,9554,9536,9504,9603,9647,9643,9638,9639,9631,9631,9644,9642,9614,9571,9621,9597,9553,9504,9443,9381,9312,9243,9144,9011,8861,8690,8496,8277,8021,7743,7428,7083,6709,6307,5883,5443,5003,4571,4146,3741,3349,2962,2569,2238,1986,1774,1613,1490,1399,1321,1305,1286,1298,1300,1301,1304,1305,1306,1307,1311,1308,1306,1305,1303,1305,1305,1304,1305,1306,1315,1315,1313,1237,1240,1237,1233,1231,1231,1230,1232,1228,1229,1224,1219,1213,1206,1200,1186,1166,1157,1156,1159,1157,1169,1180,1187,1191,1196,1209,1210,1207,1209,1206,1203,1196,1202,1206,1206,1204,1203,1198,1206,1198,1188,1192,1187,1182,1174,1164,1159,1155,1154,1141,1128,1120,1113,1106,1100,1099,1101,1142,1140,1144,1143,
Natural gas,10519,10523,10553,10439,10295,10312,10308,10185,10037,9975,9967,10025,10136,10301,10327,10303,10252,10191,10155,10093,10192,10201,10196,10180,10214,10127,10082,10008,9952,10033,9975,10028,10042,10046,9969,10003,10073,10104,10105,10065,10067,10041,10100,10209,10293,10338,10379,10373,10283,10316,10310,10300,10404,10461,10576,10723,10826,10913,10949,11079,11159,11113,11060,11197,11722,11735,11874,12216,12478,12743,12894,13018,13096,13044,13185,13316,13412,13517,13575,13547,13438,13399,13229,13058,12861,12552,12502,12301,11997,11726,11339,10846,10536,10454,10382,9931,9442,9114,8806,8854,8828,8609,8691,8676,8816,8957,8924,8821,8819,8846,8845,8827,8721,8644,8600,8680,8689,8624,8656,8526,8603,8309,8555,8547,8546,8548,8575,8597,8501,8518,8531,8445,8346,8393,8386,8309,8363,8448,8450,8385,8343,8373,8734,8711,8681,8800,8889,8789,8737,8832,8927,8660,8673,8779,9009,9079,9202,9236,9252,9357,9065,8895,8944,8906,8965,8995,9089,9091,9155,9201,9123,9209,9334,9443,9611,9774,9866,10099,10330,10554,10734,10974,11095,11334,11750,12007,12287,12639,12932,13246,13556,14074,14402,14553,14813,15113,15804,16038,16045,16715,16817,16892,17171,17285,17232,17117,17079,17198,17368,17283,17239,17112,17011,17124,17375,17366,17280,16931,16784,16736,16594,16633,16641,16495,16451,16438,16391,16406,16405,16353,16314,16263,16075,16227,16262,16228,16037,15966,15904,15970,16002,15913,15870,15895,15707,15668,15449,15209,15186,15228,15143,15097,15036,14827,14841,14697,14350,14235,14225,14139,14029,13914,13764,13554,13380,13336,13250,13340,13212,13227,13176,12935,12801,12760,12710,12656,12560,12319,12126,12029,11994,11969,11926,11880,11727,11679,11631,11538
Large hydro,1303,1401,1434,1439,1528,1556,1570,1576,1558,1492,1433,1416,1406,1363,1345,1352,1397,1417,1429,1370,1348,1343,1330,1331,1329,1329,1371,1367,1371,1357,1350,1330,1320,1332,1324,1325,1329,1435,1498,1482,1503,1522,1549,1450,1395,1379,1383,1379,1328,1402,1437,1436,1427,1428,1417,1409,1461,1455,1352,1353,1387,1589,1703,1720,1716,1761,1742,1668,1666,1718,1672,1666,1720,1930,1996,2012,2008,2014,2001,2016,2020,2018,2010,1998,1953,1949,1923,1911,1897,1889,1850,1917,1934,1902,1891,1854,1713,1557,1445,1336,1328,1379,1380,1379,1367,1376,1420,1406,1394,1326,1309,1300,1190,1151,1150,1180,1196,1177,1181,1186,1159,973,751,749,750,737,731,741,736,740,748,751,743,728,718,724,714,718,731,715,713,714,724,731,743,834,971,986,1056,1080,1038,982,954,927,1005,1032,1070,1243,1356,1365,1686,1711,1687,1720,1726,1716,1741,1748,1714,1831,1903,1886,1835,1836,1883,1922,1935,1917,1853,1793,1789,1967,2018,2012,2067,2071,2123,2170,2214,2250,2277,2306,2423,2679,2822,2833,2916,2958,2781,2656,2634,2641,2641,2686,2784,2885,2916,2960,3027,3055,3074,3078,3087,3086,3059,3037,2992,2907,2814,2783,2723,2716,2710,2724,2717,2708,2684,2634,2656,2646,2637,2634,2667,2610,2601,2651,2677,2696,2670,2655,2627,2518,2471,2480,2482,2474,2455,2458,2438,2417,2403,2396,2335,2173,2132,2132,2183,2147,2110,2110,2101,2103,2077,2068,1924,1719,1694,1757,1675,1653,1634,1587,1572,1563,1552,1538,1552,1562,1611,1610,1610,1610,1587,1560,1525,1493,1507,1512
Imports,5779,5750,5652,5669,5685,5524,5464,5575,5630,5693,5694,5643,5503,5327,5304,5271,5221,5216,5206,5282,5220,5156,5157,5150,5129,5109,5113,5146,5161,5134,5157,5115,5148,5109,5156,5140,5091,5001,4944,4989,4996,4985,4962,4928,4910,4900,4881,4916,5051,5118,5219,5313,5276,5264,5208,5212,5109,5121,5218,5249,5283,5502,5671,5676,5299,5388,5354,5260,5219,5048,5065,5128,5252,5486,5575,5568,5559,5439,5385,5398,5452,5340,5305,5244,5181,5139,4746,4628,4564,4419,4373,4663,4544,4236,3845,3729,3752,4183,4082,3873,3897,3909,3676,3532,3464,3599,3414,3139,2891,3149,3062,2922,2910,3027,3062,3031,3016,3051,2763,2773,2660,3008,3417,3447,3437,3460,3433,3405,3470,3471,3466,3552,3646,3623,3662,3742,3736,3681,3700,3816,3869,3881,3907,3946,3891,3748,3645,3652,3661,3560,3502,3855,3944,3902,3795,3780,3701,3518,3337,3318,3275,3305,3355,3421,3401,3464,3446,3610,3538,3541,3611,3672,3730,3778,3730,3704,3693,3672,3743,3787,3884,3772,3845,3978,3915,4076,4224,4281,4439,4617,4801,4803,4869,4889,4850,4997,4710,4797,5107,5010,5177,5310,5262,5361,5483,5639,5796,5876,5860,6059,6201,6385,6567,6443,6177,6205,6311,6589,6742,6769,6948,6893,6825,6854,6880,6852,6872,6876,6811,6719,6668,6660,6754,6559,6492,6470,6521,6473,6464,6358,6240,6360,6402,6287,6341,6321,6452,6605,6501,6369,6327,6266,6190,6395,6330,6359,6513,6478,6452,6385,6340,6325,6331,6420,6541,6585,6566,6404,6312,6201,6132,6288,6295,6192,6107,6048,6006,6130,6180,6156,6077,6000,5971,5928,6029,5952,5893,5901
Batteries,4,6,-8,-1,-1,-2,-15,-36,-3,5,-7,-7,-7,1,4,4,8,2,1,1,1,1,-1,-10,-15,-7,1,1,0,-23,0,-3,-19,-6,-1,-1,-1,1,0,0,-3,-4,-27,-7,0,0,0,0,-1,0,0,0,0,-1,-8,11,25,-6,-9,-5,-11,9,21,16,14,14,14,14,7,6,15,15,5,5,-26,-5,-23,-4,-29,-15,-31,-21,-31,-27,-38,-24,-5,-8,-24,-21,-31,12,6,-13,-35,-36,-37,8,-36,-35,-15,-3,22,20,19,14,10,-2,-5,-24,-19,-12,5,38,14,-40,-23,-9,-15,-10,-17,3,-24,-21,-23,-24,-39,-43,-22,-22,-22,-21,-22,-13,-23,-15,-17,-18,-18,-21,-18,-18,-19,-19,0,-35,-34,-19,-4,-9,-9,-4,-2,-1,-16,-23,-24,-41,-27,-48,-59,-44,-44,-44,-44,-43,-41,-41,-42,-29,-38,-44,-8,-36,-24,-32,-32,-36,-35,-18,-11,6,-9,-7,4,-2,7,-2,-2,-2,19,-1,-7,-6,-30,-34,-28,-25,-26,-46,-45,-27,-26,-21,-28,-11,-8,0,2,0,-3,10,-26,-12,-9,-9,-13,-4,0,0,0,-4,-11,-3,-13,-12,-21,-12,-22,-15,-16,-13,5,-13,-22,-20,-16,-17,-17,-21,-26,-26,-23,-22,-22,-24,-39,-26,-22,-22,-22,-24,-10,16,-7,-4,1,1,1,1,1,1,1,5,-20,39,13,-55,-4,-4,-9,-10,-4,-4,-4,-4,-4,9,3,3,3,3,-3,-8,-5,-3,3,-2
Nuclear,1110,1110,1110,1110,1110,1110,1110,1110,1109,1110,1110,1111,1110,1110,1110,1110,1109,1110,1110,1110,1110,1110,1110,1110,1110,1111,1111,1110,1110,1110,1111,1111,1111,1111,1111,1111,1112,1112,1111,1111,1112,1112,1112,1112,1111,1112,1111,1112,1112,1111,1111,1111,1111,1111,1112,1111,1111,1112,1112,1111,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1111,1112,1111,1112,1112,1112,1112,1112,1112,1112,1111,1112,1112,1112,1112,1112,1112,1113,1112,1112,1112,1112,1112,1112,1112,1112,1112,1111,1112,1112,1112,1112,1112,1111,1111,1111,1112,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1110,1111,1111,1111,1111,1111,1111,1111,1111,1110,1110,1110,1110,1111,1111,1111,1111,1111,1115,1113,1110,1111,1111,1111,1110,1112,1111,1112,1112,1112,1112,1112,1111,1112,1112,1111,1111,1111,1111,1111,1111,1111,1110,1111,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1111,1110,1110,1111,1110,1110,1111,1111,1112,1112,1111,1112,1111,1112,1111,1112,1112,1112,1113,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1110,1110,1111,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1109,1109,1109,1109,1109,1110,1109,1110,1109,1110,1109,1109,1109,1109,1109,1108,1109,1108,1109,1108,1108,1109,1108,1109,1109,1109,1109,1109,1108,1108,1109,1109,1108,1109,1108,1108,1109,1109,1108,1109,1108,1108,1108,1109,1109,1109,1109,1108,1108,1108,1108,1108,1107,1108,1107,1107,1108,1107,1108,1107,1107,1107
Coal,15,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,16,16,16,16,16,15,14,14,15,16,16,14,14,15,15,15,15,15,15,15,15,15,15,15,14,15,14,14,16,16,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,14,13,13,14,14,14,15,15,15,15,15,14,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,17,17,18,17,15,15,15,15,15,15,15,13,13,12,13,13,12,13,12,13,12,12,12,12,13,12,12,12,12,12,12,13,12,13,12,13,12,12,13,12,13,13,14,13,14,15,12,12,11,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,13,12,12,12,13,12,12,12,11,11,11,11,12,11,12,12,12,12,12,13,13,12,13,12,12,12,12,12,12,13,12,12,12,13,12,12,12,12,12,13,13,12,11,11,11,11,11,10,10,10,10,10,10,10,10,11,11,10,10,11,10,11,11,11,11,12,12,13,12,12,12,12,12,13,12,12,12,12,12,13,12,12,11,11,11,12,11,12,11,12
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
