Supply 11/21/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,2020,2008,1979,1984,1967,1954,1939,1928,1931,1953,2007,2028,2042,2015,1986,1940,1948,1944,1939,1930,1927,1899,1874,1880,1883,1881,1857,1892,1897,1901,1878,1918,1931,1930,1913,1902,1905,1894,1895,1900,1889,1904,1883,1860,1852,1838,1839,1843,1850,1815,1826,1821,1808,1854,1874,1878,1884,1880,1864,1838,1856,1863,1875,1876,1884,1874,1852,1819,1829,1810,1795,1799,1805,1808,1800,1805,1816,1838,1834,1846,1858,1917,2013,2107,2231,2389,2502,2644,2793,2966,3120,3334,3521,3805,4098,4407,4850,5181,5502,5774,6247,6560,6812,7060,7223,7019,6767,7027,7426,7531,7482,7567,7707,7729,7769,7866,7817,7907,7844,7702,7810,7898,7934,7873,7700,7750,8005,8100,8015,7926,8050,8168,8174,8360,8364,8279,8186,8176,8117,8055,8191,8137,8143,8260,8247,7892,7729,7759,8044,8323,8369,7974,7841,7972,8456,8719,8862,9160,9146,8917,8766,8692,8510,7817,7471,7344,7133,7167,7315,7165,7207,7174,7292,7259,7127,7137,6923,6603,6676,6592,6436,6308,5875,5626,5366,5091,4780,4404,4097,3830,3697,3405,3149,2919,2667,2464,2308,2202,2083,1895,1835,1796,1807,1796,1769,1788,1774,1782,1773,1812,1815,1782,1752,1761,1756,1715,1736,1718,1707,1684,1689,1693,1695,1688,1706,1696,1685,1670,1686,1695,1674,1692,1720,1759,1747,1803,1849,1833,1786,1741,1742,1710,1677,1656,1700,1734,1680,1638,1638,1646,1631,1664,1673,1674,1663,1664,1654,1665,1672,1679,1676,1680,1662,1691,1689,1692,1694,1686,1673,1664,1631,1651,1661,1640,1666,1651,1638,1631,1628,1610,1610,1592,1600,1591,1590,1579,1575,1549,
Natural gas,9886,9993,10131,9961,9685,9538,9528,9306,9160,9115,9084,9089,9059,8993,9028,9043,9052,9061,9080,8928,8856,8863,8856,8833,8824,8890,8865,8915,8886,8849,8841,8866,8835,8845,8855,8835,8898,8866,8913,8886,8887,8927,8906,8927,8919,9073,9192,9253,9322,9358,9359,9298,9332,9373,9406,9419,9457,9512,9560,9539,9534,9671,9602,9620,9781,9808,9894,10010,10089,10251,10433,10380,10393,10582,10509,10652,10883,10940,11033,11192,11219,11268,11344,11313,11304,11344,11499,11529,11445,11428,11422,11391,11300,11277,11119,11033,10753,10654,10225,9745,9469,9363,9091,8887,8716,8809,9069,9084,9060,9029,8975,9023,9098,9141,9182,8952,8859,8856,8885,8917,8888,8832,8850,8841,9064,9058,8989,9052,9009,9032,9001,8952,8958,8868,8795,8872,8883,8873,8897,9004,8872,8805,8804,8853,8987,9273,9216,9181,9002,8712,8730,8961,9035,9043,8914,8839,8769,8685,8591,8635,8545,8698,8834,9179,9311,9436,9524,9456,9508,9476,9342,9402,9478,9526,9565,9565,9565,9832,9819,10013,10255,10420,10556,10669,10870,10941,11190,11360,11507,11752,12062,12262,12272,12213,12142,12066,12167,12265,12600,12794,12916,13179,13421,13526,13635,13917,13962,14027,14035,14140,14188,14244,14334,14329,14262,14115,14125,13896,13868,13831,13822,13788,13751,13712,13703,13689,13624,13627,13650,13666,13620,13728,13598,13574,13509,13475,13386,13355,13330,13360,13407,13326,13280,13300,13255,13187,13147,13149,13040,12974,12852,12910,12894,12775,12666,12656,12560,12543,12434,12307,12242,12213,12091,12106,12215,12129,12236,12221,12059,12017,11959,11812,11750,11713,11672,11533,11583,11498,11464,11441,11336,11246,11203,11151,11106,11042,10839,10673
Large hydro,1895,1772,1702,1680,1708,1736,1718,1700,1729,1686,1648,1633,1615,1494,1450,1423,1406,1398,1404,1412,1416,1407,1409,1403,1365,1306,1282,1258,1279,1286,1294,1283,1275,1280,1292,1259,1250,1286,1280,1288,1317,1317,1308,1319,1346,1348,1358,1357,1369,1534,1667,1688,1699,1682,1661,1673,1680,1730,1774,1812,1837,2181,2364,2371,2348,2395,2339,2421,2453,2461,2409,2415,2383,2565,2655,2672,2652,2656,2657,2679,2718,2695,2703,2701,2711,2631,2661,2661,2708,2668,2720,2729,2671,2537,2264,2220,2208,2077,2247,2269,2214,2184,2117,2089,2063,2091,2181,2145,1732,1445,1285,1376,1371,1365,1374,1311,1283,1310,1291,1283,1242,1206,1210,1180,1187,1180,1117,1050,1115,1137,1121,1084,1102,1030,1045,1143,1213,1161,1146,1130,1096,1095,805,771,751,768,837,856,825,775,756,743,791,828,769,728,733,812,862,912,900,956,916,857,921,962,1025,1029,999,1195,1316,1384,1375,1347,1364,1364,1344,1382,1383,1380,1469,1838,2012,2146,2237,2248,2252,2261,2293,2283,2294,2255,2303,2635,2703,2790,2851,2813,2796,2823,2873,2913,2932,2943,2944,2867,2856,2949,2992,2992,2950,2928,2929,2990,3056,3123,3105,3058,3126,3104,3091,3094,3093,3074,3051,3069,3030,2974,2932,2984,2978,2978,2967,2961,2944,2934,2919,2928,2933,2952,2935,2889,2896,2948,2944,2879,2858,2907,2929,2927,2914,2884,2816,2779,2769,2768,2687,2648,2645,2680,2690,2681,2649,2591,2613,2457,2438,2457,2459,2448,2426,2440,2400,2388,2391,2329,2249,2035,1960,1953,1934,1950,1935,1892,1877,1863,1862,1917
Imports,6541,6577,6507,6643,6755,6795,6766,6941,6976,6954,6935,6850,6783,6877,6933,6912,6921,6863,6819,6873,6916,6898,6903,6863,6893,6835,6859,6846,6805,6765,6743,6671,6680,6634,6612,6640,6603,6603,6591,6622,6511,6498,6553,6549,6562,6443,6315,6286,6281,6213,6147,6216,6218,6235,6263,6339,6381,6342,6328,6380,6532,6378,6379,6426,6514,6507,6531,6530,6573,6552,6604,6774,7000,7136,7401,7502,7449,7514,7505,7480,7498,7476,7403,7360,7271,7329,7252,7130,7027,6900,6721,6656,6562,6405,6511,6341,6030,6049,5963,5993,5798,5658,5606,5552,5449,5488,5308,4896,4859,5068,5289,4962,4732,4583,4474,4608,4700,4582,4607,4681,4591,4634,4563,4519,4497,4363,4236,4154,4193,4216,4150,4061,4001,3963,3979,3839,3748,3790,3837,3842,3889,4010,4335,4423,4244,4374,4491,4490,4433,4590,4599,4716,4754,4530,4265,4224,4188,4028,4063,4181,4392,4329,4375,4846,5020,5081,5185,5203,5064,4985,4837,4702,4551,4649,4796,4796,4904,5099,5159,5222,5203,4878,4988,5057,5134,5330,5443,5656,5903,6038,5986,6192,6513,6612,6895,7190,7274,7530,7468,7588,7690,7617,7583,7737,7878,7856,8016,8104,8127,8137,8162,8142,8137,8095,8123,8185,8174,8396,8362,8332,8368,8397,8395,8397,8403,8391,8413,8433,8393,8231,8176,8095,8175,8163,8167,8194,8183,8172,8187,8105,7994,8090,8106,8035,7944,7974,8014,7919,7944,7913,7922,7848,7817,7890,7925,7844,7854,7874,7862,7874,7755,7682,7654,7588,7349,7260,7112,6919,6907,6849,6810,6774,6722,6665,6564,6580,6482,6545,6593,6526,6518,6475,6458,6443,6398,6348,6504,6494
Batteries,12,-57,-65,-40,10,0,-21,2,-28,-5,-28,-14,9,7,19,14,3,2,2,2,2,2,2,2,2,-13,-14,-16,-6,1,-22,-4,-7,-4,-9,-7,-17,-4,1,-3,6,1,0,10,12,-4,0,-8,-16,-12,7,-1,-2,-17,-11,-6,4,-9,0,1,-4,-16,3,-2,3,4,-29,7,0,0,-17,-3,-3,-8,19,26,-6,-6,-6,12,58,10,27,12,5,2,3,1,9,1,-10,-10,-43,-69,-68,-42,-17,-28,3,76,10,-54,-64,5,1,10,74,8,-69,-34,39,65,20,14,11,20,66,29,11,25,12,17,18,18,18,14,-19,-1,18,23,6,-17,-7,-9,12,27,28,11,10,-16,-26,8,25,11,3,-5,12,17,1,-41,-66,-29,-4,1,-3,-4,-5,2,8,65,82,80,9,-20,2,8,60,24,6,-47,-15,15,-9,-15,-9,-4,8,18,-2,-31,-49,-12,-4,27,36,-4,-4,-13,-2,-2,-3,-9,-6,-12,-7,-3,-2,-2,-2,-2,13,0,-2,-2,5,-5,0,2,3,5,2,-1,2,3,7,8,12,2,-4,-2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,10,0,-7,-14,-11,-2,0,0,0,0,-9,2,7,5,2,2,2,2,2,2,-5,-5,2,-7,-19,-5,4,-5,-3,-2,-31,-34,-29,-12,-3,8,15,8,-6,6,-20,-10,-11,-4,-11,14
Nuclear,1108,1108,1108,1108,1108,1108,1108,1108,1109,1107,1108,1108,1108,1109,1107,1108,1107,1108,1108,1108,1108,1108,1108,1107,1107,1107,1108,1108,1109,1108,1108,1108,1109,1108,1108,1108,1109,1108,1109,1108,1109,1109,1108,1109,1109,1108,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109,1108,1109,1108,1108,1108,1109,1108,1108,1108,1108,1108,1108,1107,1108,1108,1107,1108,1108,1108,1108,1107,1107,1107,1107,1107,1107,1107,1108,1109,1110,1108,1108,1108,1109,1109,1109,1108,1108,1108,1108,1108,1108,1108,1108,1109,1108,1108,1108,1108,1108,1107,1107,1107,1108,1108,1107,1107,1107,1107,1107,1107,1108,1107,1107,1108,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1108,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1106,1106,1106,1107,1106,1107,1107,1107,1107,1107,1106,1107,1107,1107,1107,1106,1106,1107,1106,1106,1106,1106,1107,1107,1106,1107,1108,1107,1107,1107,1107,1108,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1106,1107,1106,1107,1107,1107,1108,1107,1107,1107,1107,1106,1107,1106,1106,1107,1106,1107,1107,1106,1107,1107,1106,1106,1106,1106,1108,1106,1107,1107,1106,1106,1107,1106,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1106,1106,1106,1106,1106,1107,1106,1106,1106,1106,1106,1106,1106,1105,1106,1106,1106,1106,1105,1106,1106
Coal,15,15,15,15,15,15,16,15,16,15,16,15,15,15,16,16,15,15,15,15,16,16,16,16,15,15,15,15,16,16,16,16,16,15,16,16,15,16,16,15,16,16,16,17,18,18,18,17,17,18,20,19,19,18,19,18,18,16,17,17,16,16,16,15,15,15,16,15,16,15,16,15,16,16,15,16,15,15,15,15,15,15,15,16,17,16,16,15,15,15,16,16,16,16,16,17,15,13,14,15,16,15,15,14,15,16,14,13,13,14,15,15,16,16,15,15,15,14,14,15,15,15,16,15,14,13,13,13,13,13,13,13,14,14,14,14,14,14,14,13,13,14,14,14,14,13,13,13,13,13,13,12,13,13,13,13,12,13,13,13,12,13,12,14,14,14,15,15,14,14,14,15,15,14,15,15,15,15,15,15,14,14,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,14,14,14,14,14,14,14,13,14,13,13,13,13,14,15,15,15,15,14,15,14,14,14,14,14,15,15,14,14,14,14,14,14,15,16,16,16,16,16,16,17,17,17,17,16,15,14,15,15,15,15,15,15,14,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,14,14,14
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
