Supply 01/29/2020,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,4027,4060,4042,3980,3955,3946,3944,3891,3893,3876,3858,3860,3881,3892,3904,3897,3901,3906,3904,3906,3901,3905,3915,3941,3989,4052,4045,4081,4145,4238,4335,4368,4444,4482,4457,4475,4442,4447,4449,4415,4371,4386,4391,4408,4418,4371,4317,4259,4193,4152,4125,4122,4129,4120,4116,4083,4072,4077,4062,4007,3977,3975,3955,3921,3887,3829,3841,3849,3933,4012,4057,4075,4128,4166,4165,4184,4141,4127,4069,4108,4121,4089,4033,4018,4040,4066,4085,4085,4155,4329,4515,4733,5037,5367,5660,5958,6250,6442,6595,7019,7239,7444,7550,7838,8000,8181,8575,8720,8962,9022,8974,8982,8922,8738,8828,8797,8696,8811,9012,9057,8949,9124,9154,9212,9071,9205,9076,9163,9207,9285,9262,9460,9391,9576,9486,9390,9344,9262,9314,9397,9420,9393,9629,9750,9843,9831,9925,10007,9939,10113,10270,10367,10409,10517,10522,10798,10785,10784,10807,10682,10599,10760,10610,10450,10609,10924,10835,10524,10468,10978,11256,10879,10172,10058,9987,9694,9559,9284,9081,8905,8875,8609,8369,8329,8079,7968,7729,7516,7279,6938,6594,6901,6547,6346,6491,6339,6052,5682,5265,4911,4518,4152,3827,3508,3220,2962,2791,2711,2667,2657,2691,2711,2725,2776,2778,2793,2768,2795,2780,2767,2737,2731,2710,2724,2727,2754,2760,2768,2706,2662,2612,2673,2665,2631,2624,2617,2687,2667,2626,2605,2602,2594,2568,2564,2572,2542,2539,2546,2538,2527,2523,2493,2487,2491,2475,2462,2494,2546,2580,2658,2653,2622,2579,2557,2518,2488,2489,2495,2523,2547,2571,2629,2640,2615,2587,2534,2473,2415,2365,2340,2333,2361,2382,2394,2371,2344,2312,2289,
Natural gas,5994,6015,6023,5901,5836,5762,5732,5694,5626,5541,5546,5499,5443,5402,5300,5219,5197,5137,5100,5027,4981,4915,4913,4910,4923,4834,4707,4729,4692,4599,4580,4536,4492,4436,4358,4375,4353,4419,4493,4528,4602,4617,4630,4640,4638,4672,4693,4728,4786,4821,4852,4964,5015,5058,5119,5169,5280,5444,5502,5561,5684,5672,5604,5584,5715,5863,6011,6203,6324,6417,6544,6512,6581,6864,6705,6631,6789,6965,7145,7423,7582,7652,7663,7696,7629,7700,7829,7860,7589,7530,7481,7456,7435,7394,7078,7132,7116,7359,7455,7420,7373,7113,7165,6849,6589,6333,6078,5891,5985,6352,6501,6402,6247,6242,6187,6133,6072,6021,5941,5878,5843,5751,5716,5694,5711,5596,5744,5796,5780,5709,5699,5597,5663,5501,5501,5488,5396,5261,5231,5182,5143,5198,5074,5090,5069,5060,5061,4968,4907,4959,4978,4987,4920,5020,4914,4762,4781,4749,4636,4670,4639,4626,4669,4582,4534,4681,4728,4785,4700,4462,4452,4518,4809,4874,4968,4968,4949,5082,5226,5264,5209,5259,5267,5287,5490,5574,5614,5714,5649,5865,6055,6101,6324,6278,6404,6412,6743,6805,7339,7675,8082,8280,8601,8757,8814,8943,8906,8966,9186,9199,9181,9259,9377,9493,9750,9875,9794,9790,9839,9868,9846,9844,9769,9666,9563,9543,9398,9396,9334,9523,9568,9538,9570,9608,9637,9513,9388,9328,9458,9387,9276,9189,9251,9213,9114,9072,9052,9034,9007,8960,8963,8958,8935,8782,8757,8694,8657,8716,8658,8484,8269,8250,8234,8144,8068,8150,8211,8130,8002,8043,7947,7740,7563,7478,7322,7215,7251,7317,7524,7620,7602,7535,7445,7404,7315,7181,7157,7158
Large hydro,1261,1295,1309,1330,1328,1320,1297,1313,1329,1294,1320,1324,1321,1318,1307,1298,1298,1296,1298,1297,1302,1300,1286,1291,1339,1362,1362,1350,1370,1381,1381,1386,1383,1387,1386,1393,1394,1350,1310,1290,1316,1328,1358,1364,1369,1377,1381,1380,1380,1369,1366,1364,1366,1373,1383,1384,1387,1401,1397,1408,1410,1484,1573,1614,1643,1624,1599,1716,1783,1820,1778,1808,1859,2128,2352,2386,2435,2541,2585,2605,2559,2594,2641,2752,2731,2591,2571,2584,2563,2540,2462,2440,2316,2267,2213,2119,2020,1890,1854,1626,1450,1430,1357,1391,1388,1395,1389,1395,1386,1387,1339,1358,1381,1399,1397,1406,1394,1360,1318,1294,1284,1264,1221,1225,1261,1242,1266,1279,1288,1265,1290,1305,1320,1292,1278,1271,1319,1315,1319,1308,1307,1307,1259,1231,1249,1265,1276,1297,1298,1258,1229,1249,1245,1227,1247,1250,1257,1326,1360,1368,1388,1393,1390,1404,1382,1334,1304,1352,1406,1346,1283,1288,1402,1418,1411,1499,1504,1716,1831,1835,1837,1846,1913,1912,1913,1924,1929,1924,1933,1936,1965,1962,2020,1989,2064,2037,2068,2230,2345,2257,2249,2386,2432,2504,2532,2785,2868,2865,2931,3053,3127,3154,3167,3152,3110,3053,3078,2970,2835,2803,2831,2861,2923,3000,2991,2992,2984,2977,2940,2964,2957,2929,2893,2892,2887,2895,2969,2892,2861,2861,2840,2678,2614,2628,2631,2618,2566,2538,2463,2444,2445,2451,2495,2542,2619,2526,2263,2200,2124,2138,2128,2101,2092,2049,1952,1858,1789,1747,1538,1505,1490,1504,1507,1519,1559,1560,1542,1471,1473,1466,1430,1403,1378,1382,1410,1437,1428,1382
Imports,7952,7954,7963,8040,8110,8128,8110,8095,8111,8169,8100,8041,8016,8011,8072,8131,8107,8123,8127,8120,8147,8154,8151,8066,7997,7956,7967,7931,7871,7795,7690,7660,7672,7662,7700,7701,7697,7680,7765,7775,7710,7657,7605,7571,7571,7590,7631,7676,7725,7803,7906,7869,7862,7906,7889,7925,7951,7810,7832,7930,7977,8238,8465,8531,8588,8644,8653,8574,8461,8466,8459,8644,8776,8712,8862,9102,9175,9106,9022,8998,9053,9117,9210,9233,9322,9436,9453,9519,9754,9629,9520,9391,9233,9014,8863,8588,8197,8057,7819,7403,7396,7294,7162,7187,7294,7206,7020,6945,6558,6139,5997,5843,5783,5851,5624,5575,5662,5532,5502,5456,5360,5180,5119,4933,4907,4783,4771,4606,4524,4404,4389,4168,4130,3929,3993,4138,4193,4258,4309,4195,4090,4073,3951,3903,3698,3758,3670,3549,3563,3424,3303,3161,3138,3089,3144,3163,3179,3254,3377,3462,3557,3494,3535,3715,3697,3550,3674,3689,3747,3624,3680,3890,4050,4087,4221,4431,4542,4612,4660,5001,5184,5401,5632,5773,5953,6066,6275,6485,6809,7011,7372,7209,7419,7775,7477,7698,7768,7972,7901,8162,8443,8622,8719,9005,9426,9353,9661,9808,9885,9938,10074,10196,10274,10290,10198,10245,10302,10462,10562,10635,10630,10650,10651,10627,10668,10651,10711,10643,10686,10613,10572,10536,10522,10516,10452,10524,10471,10522,10476,10540,10552,10669,10694,10656,10687,10676,10699,10669,10687,10687,10607,10536,10438,10388,10220,10184,10345,10290,10292,10314,10359,10263,10144,10155,10157,10019,10014,9934,10028,10034,10012,9979,9958,9898,9814,9790,9670,9587,9347,9205,9172,9194,9105,9071,8967,8960,8923,8879
Batteries,0,-22,-9,-2,-1,-6,-26,-13,0,-5,-8,0,0,0,0,0,0,0,4,0,17,7,0,0,-37,-25,-9,-13,-4,-11,-6,-12,-14,-14,-14,-8,-3,-9,-78,-40,-42,-6,-8,-5,-7,-8,-1,0,0,0,0,-4,0,0,0,0,2,21,27,17,-4,-7,27,33,39,17,0,0,0,-28,-38,-14,-60,-28,41,41,46,43,25,18,20,23,30,39,30,33,41,39,72,47,25,17,-39,-31,-12,-22,-16,-65,-1,-1,81,46,13,-1,-1,11,-1,0,-2,-92,-71,-22,-1,14,2,3,14,-18,-85,-78,-2,-28,-38,-4,-2,-19,-18,-21,-30,-18,51,20,95,93,80,42,53,45,38,31,33,32,4,-6,2,-34,-42,6,13,13,-21,13,-37,-20,13,13,12,15,-3,-10,-3,-2,21,45,-14,-95,-58,61,87,-11,-102,13,67,58,67,68,82,96,91,27,14,-1,5,12,3,3,3,3,3,15,36,-41,-23,-60,-68,-68,-45,100,71,23,45,43,60,57,25,-8,-25,-47,-30,22,23,9,9,5,4,-14,7,-36,-21,-33,-36,-20,-7,-4,-4,-4,-4,-4,-4,30,43,5,6,-3,-2,23,46,14,-2,-4,0,17,14,13,5,4,4,-5,-5,-3,2,-6,-4,1,0,-6,0,-24,-61,-51,-41,-3,-15,-1,1,-19,-60,-15,-8,-70,-76,-60,-64,-31,0,21,38,-1,0,-24,-66,-49,-54,-53,-2,-2,-15,-7
Nuclear,2274,2274,2272,2274,2274,2274,2274,2274,2274,2273,2274,2274,2274,2273,2274,2273,2273,2274,2275,2275,2274,2275,2275,2275,2274,2275,2274,2275,2274,2274,2275,2274,2274,2274,2275,2274,2274,2274,2274,2274,2274,2273,2273,2273,2273,2272,2273,2272,2272,2272,2272,2272,2271,2272,2272,2272,2271,2273,2273,2272,2273,2273,2273,2274,2273,2273,2273,2274,2274,2274,2275,2274,2274,2275,2274,2275,2274,2275,2275,2274,2274,2274,2274,2275,2275,2275,2275,2274,2273,2274,2275,2275,2274,2275,2276,2275,2274,2275,2274,2274,2274,2274,2273,2273,2275,2273,2273,2273,2273,2274,2274,2274,2274,2274,2274,2274,2275,2274,2275,2274,2276,2274,2273,2275,2275,2275,2275,2275,2275,2275,2277,2276,2276,2275,2275,2276,2274,2275,2274,2275,2275,2275,2274,2275,2275,2274,2275,2274,2274,2275,2276,2275,2274,2275,2276,2276,2277,2276,2275,2276,2276,2276,2278,2277,2276,2277,2277,2277,2277,2277,2277,2276,2277,2276,2276,2277,2276,2276,2276,2276,2276,2276,2276,2275,2275,2275,2275,2274,2274,2274,2275,2274,2273,2273,2273,2273,2274,2272,2272,2273,2273,2274,2274,2273,2272,2273,2272,2272,2274,2273,2273,2273,2273,2273,2273,2273,2273,2273,2272,2274,2274,2273,2274,2273,2272,2272,2272,2272,2271,2271,2272,2271,2271,2272,2272,2271,2272,2272,2270,2272,2273,2272,2273,2272,2273,2271,2273,2272,2272,2272,2271,2272,2272,2272,2273,2274,2274,2273,2275,2275,2274,2276,2274,2276,2275,2275,2274,2274,2274,2275,2276,2275,2276,2276,2276,2278,2278,2279,2280,2278,2279,2279,2280,2279,2278,2279,2279,2279
Coal,17,16,17,17,17,17,17,17,16,17,16,17,17,17,17,17,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,17,17,17,16,17,17,17,17,17,18,18,18,18,17,18,18,18,17,18,18,18,18,17,16,17,17,17,17,17,17,18,17,17,18,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,15,16,17,16,16,16,15,15,15,17,16,16,16,15,16,17,17,17,16,16,16,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,15,15,16,16,15,15,15,15,16,15,16,16,16,17,16,17,16,16,16,16,16,16,16,16,16,16,17,18,17,18,18,18,17,17,18,17,18,17,16,16,16,15,16,17,17,16,17,17,17,16,16,17,17,18,18,17,17,17,18,17,16,13,12,12,12,13,13,13,13,12,12,12,12,13,13,13,13,14,13,13,13,13,13,14,14,13,13,13,13,13,12,12,13,13,13,14,13,13,12,13,12,12,12,13,13,13,13,13,13,13,12,14,14,14,14,14,15,14,14,14,14,13,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,13,14,15,14,14,14,14,14,13,14,14,14,14,15,14
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
