,Emissions/Supply (C02 kg/kWh),Supply (GWh),Emissions (mmTh)
525,0.21956341201175206,653843,143560
526,0.22051399691328896,688759,151881
527,0.22148889371827543,722429,160010
528,0.3482391869534389,21155,7367
529,0.3476089190545611,41843,14545
530,0.3459528136509111,62179,21511
531,0.3144589603660217,90705,28523
532,0.29870813997240686,119595,35724
533,0.2876066085736782,151137,43468
534,0.2797737100497448,184542,51630
535,0.27415346805024576,219720,60237
536,0.26770402800717563,253078,67750
537,0.261773072896287,283677,74259
538,0.25671424494206907,311837,80053
539,0.25252433125816437,339892,85831
540,0.2488868542528435,366978,91336
541,0.24602844400245574,394178,96979
542,0.24292311588834156,422467,102627
543,0.24035017995235314,450397,108253
544,0.23837451560481687,479980,114415
545,0.23788277369672176,512803,121987
546,0.23811354163630535,548944,130711
547,0.23871180070630646,586431,139988
548,0.23928968418823915,623441,149183
549,0.23966511187949363,659683,158103
550,0.24000494968301886,694994,166802
551,0.24046068114174055,728747,175235
552,0.25504717820900835,28085,7163
553,0.2559290648814187,56164,14374
554,0.2561234721161192,83776,21457
555,0.25588603660020004,110983,28399
556,0.2557574446607542,138690,35471
557,0.25417222864940225,168555,42842
558,0.25173159526016287,200682,50518
559,0.24941533646854722,235178,58657
560,0.24516595700255778,268202,65754
561,0.2408716470937862,299479,72136
562,0.2364190171871808,327977,77540
563,0.2319838944592216,355654,82506
564,0.22767208686981305,382089,86991
565,0.22423753895607518,408152,91523
566,0.22102662349923322,434278,95987
567,0.21867230341410168,461732,100968
568,0.21686422798202074,490565,106386
569,0.21636016711545933,522513,113051
570,0.21638419699615286,557818,120703
571,0.21668301563612075,594329,128781
572,0.2172365283057215,629802,136816
573,0.21756436862389822,664493,144570
574,0.21768203676619102,698087,151961
575,0.21742967019586865,730949,158930
576,0.21570863236970958,29818,6432
577,0.252980212598584,49577,12542
578,0.2353581847649919,77125,18152
579,0.22719844023281818,104631,23772
580,0.22270871590960828,131782,29349
581,0.22076349341398432,161023,35548
582,0.22019760790431617,192300,42344
583,0.22054925341163661,224086,49422
584,0.2179936657002395,253856,55339
585,0.21299860073132262,280861,59823
586,0.2079194337101848,306133,63651
587,0.2044957002382709,330716,67630
588,0.200601706432676,354658,71145
589,0.19769279853423602,377687,74666
590,0.19493564821857412,400999,78169
591,0.19286831610148392,425762,82116
592,0.19183890943740783,452317,86772
593,0.1933610216362337,482755,93346
594,0.19581090093660292,517295,101292
595,0.19813174319422025,553243,109615
596,0.20023210095541996,588537,117844
597,0.20192080876158383,623175,125832
598,0.20341695534660625,656725,133589
599,0.20463220200056578,689305,141054
600,0.22552564147565726,28489,6425
601,0.26371814405877564,47911,12635
602,0.2795327410332346,66858,18689
603,0.2878885216030276,85613,24647
604,0.29149890716668586,104316,30408
605,0.27553561396316373,131718,36293
606,0.26489345738295317,159936,42366
607,0.25724612645175005,188135,48397
608,0.24919244050050124,215464,53692
609,0.24153873461822656,242251,58513
610,0.23452865947381774,268044,62864
611,0.22818111786356243,292075,66646
612,0.22128280345675097,315325,69776
613,0.21540034980582812,337330,72661
614,0.21045203626069248,359949,75752
615,0.20713247174967958,383093,79351
616,0.20462195181786957,407620,83408
617,0.20385734444449552,435118,88702
618,0.20417552520244517,467534,95459
619,0.2044471883930972,502115,102656
620,0.2050746774972181,536507,110024
621,0.20522068144480465,570347,117047
622,0.2054705502047312,603230,123946
623,0.20568492556955642,634485,130504
624,0.21038729119386881,26879,5655
625,0.24389293982733626,46217,11272
626,0.2548725866365012,65417,16673
627,0.24374017176726745,90937,22165
628,0.2374490603278856,117541,27910
629,0.23249919508970468,145979,33940
630,0.22821273630498798,177948,40610
631,0.22526263202296173,212179,47796
632,0.22088738600266422,243975,53891
633,0.21483498289120276,271790,58390
634,0.2091730251723004,298026,62339
635,0.2055065549823413,324486,66684
636,0.20195027010984182,350413,70766
637,0.19936941698961688,376477,75058
638,0.19670233301120174,402527,79178
639,0.19421897946339076,428990,83318
640,0.19219863591079775,456715,87780
641,0.1924890704507991,488355,94003
642,0.1941763136500521,523998,101748
643,0.19602354177239986,561555,110078
644,0.1973016803536743,598743,118133
645,0.19858078963655176,635001,126099
646,0.19968291976556365,669862,133760
647,0.2006922136623362,703540,141195
648,0.29804185064311767,20836,6210
649,0.2512563836497182,49149,12349
650,0.239890823480713,77306,18545
651,0.23396801218583396,105040,24576
652,0.23167416748414343,133541,30938
653,0.23068194989233012,163927,37815
654,0.2306727213621033,196872,45413
655,0.22986993378054832,231805,53285
656,0.22644313678032252,264424,59877
657,0.22296638029801832,294143,65584
658,0.21899810758488678,321811,70476
659,0.21539153245206075,349192,75213
660,0.21188338717280206,375499,79562
661,0.2086814597012322,401315,83747
662,0.20590581668199034,427443,88013
663,0.20307993339252034,452802,91955
664,0.20149508579043812,480240,96766
665,0.20106573882549555,511007,102746
666,0.20170829904945858,545689,110070
667,0.20249736103601865,582615,117978
668,0.20326721270963188,619121,125847
669,0.20395504973191925,655213,133634
670,0.20470699342533138,690377,141325
671,0.20553442680927073,723869,148780
672,0.217293078660916,29214,6348
673,0.21533123899609902,57934,12475
674,0.21226480998509686,85888,18231
675,0.21090809974325608,113732,23987
676,0.21091435071409512,142418,30038
677,0.21189408757565792,173313,36724
678,0.21312566624380785,207319,44185
679,0.21529585445992014,243177,52355
680,0.21475192052215097,277008,59488
681,0.211894090251607,308338,65335
682,0.2091510434880537,337426,70573
683,0.20668960748155954,364416,75321
684,0.20429168725628505,390569,79790
685,0.20137469276242057,415802,83732
686,0.1987765093413331,442014,87862
687,0.1969211429058445,469330,92421
688,0.196220589736967,499443,98001
689,0.19674899368694695,532389,104747
690,0.20275909417607998,559314,113406
691,0.20519463154551987,598310,122770
692,0.21040892668121663,626347,131789
693,0.21517974728463288,653779,140680
694,0.2162785749335248,690859,149418
695,0.21695299418348463,726208,157553
696,0.23428744001879132,29801,6982
697,0.2738559632482525,50501,13830
698,0.2588486574450773,78656,20360
699,0.2518738801279586,106597,26849
700,0.24814481507162564,135566,33640
701,0.24497963096093936,166920,40892
702,0.24302551392910535,201341,48931
703,0.24231797067972788,237242,57488
704,0.23858920395123412,270599,64562
705,0.2342713664639594,301091,70537
706,0.23061938001405755,330072,76121
707,0.2280019268794076,357054,81409
708,0.2253451484040546,384255,86590
709,0.22335403363962,410944,91786
710,0.22098220406372535,437628,96708
711,0.2189974748831462,465325,101905
712,0.21763608313207272,495212,107776
713,0.2178477690288714,528828,115204
714,0.2188270989002838,566237,123908
715,0.22039896508312048,605266,133400
716,0.22168434662878916,643478,142649
717,0.22292549631942896,681416,151905
718,0.22405449729478172,717687,160801
719,0.2247393057545447,752414,169097
720,0.33915540699590413,21241,7204
721,0.3386981059881385,41816,14163
722,0.2984202032785029,70642,21081
723,0.28128235802680124,99473,27980
724,0.27131584062196307,128625,34898
725,0.2641514148291586,160090,42288
726,0.2579664678049784,194440,50159
727,0.2531919047309169,230505,58362
728,0.24864243348777906,263523,65523
729,0.2430905486962366,293113,71253
730,0.2384423299664977,321172,76581
731,0.23452164068022596,348002,81614
732,0.23069005435203974,374043,86288
733,0.2274479895979196,399920,90961
734,0.22449151965764239,426221,95683
735,0.2220419571787247,453653,100730
736,0.2207391219770623,483222,106666
737,0.2208035199467519,516826,114117
738,0.2215500412638848,553753,122684
739,0.2222156577106097,592411,131643
740,0.22288049159239326,630441,140513
741,0.22347705562839484,667375,149143
742,0.2242526806792002,703180,157690
743,0.22496919149536143,737621,165942
744,0.24224209181756706,26618,6448
745,0.2743109388458226,46440,12739
746,0.2882121896847182,65941,19005
747,0.2953901622456863,85426,25234
748,0.29899352096910364,105417,31519
749,0.29926603182637856,126436,37838
750,0.2864059140126983,157186,45019
751,0.2778447844521107,189865,52753
752,0.2693426542912466,220006,59257
753,0.2598209266843331,249060,64711
754,0.25175346640585317,277593,69885
755,0.24577260142324325,305921,75187
756,0.24087162953050673,334041,80461
757,0.23678489844736195,362029,85723
758,0.23373580363887786,390505,91275
759,0.23116763524281203,419172,96899
760,0.22961598047561785,449899,103304
761,0.2294568923022116,482814,110785
762,0.2295406289424825,517599,118810
763,0.2295529902984158,553724,127109
764,0.2292763358986028,588892,135019
765,0.22895985565501034,622952,142631
766,0.22872514056126886,655586,149949
767,0.22864270048187546,687107,157102
768,0.2216781314367883,25731,5704
769,0.24803958383954408,45271,11229
770,0.2606039988247847,64669,16853
771,0.26599792459356625,83839,22301
772,0.2703321212121212,103125,27878
773,0.2622255937810381,127867,33530
774,0.2567425909149735,154540,39677
775,0.2524740220805439,181789,45897
776,0.24903031515948576,209862,52262
777,0.24479418580687493,237763,58203
778,0.23967712707763913,265987,63751
779,0.23517691981332203,294625,69289
780,0.23149533750525614,323432,74873
781,0.2288139939033076,351010,80316
782,0.22655954656367064,378267,85700
783,0.22410708565176463,405806,90944
784,0.22257210218648063,433482,96481
785,0.22152042531921662,462147,102375
786,0.22152421185525087,494262,109491
787,0.22172455583432435,528913,117273
788,0.22195292580202985,563196,125003
789,0.222349249347915,596548,132642
790,0.22275593583977132,628302,139958
791,0.2232361694345756,658921,147095
792,0.2045054692878452,26146,5347
793,0.2026985111662531,51584,10456
794,0.2026362153344209,76625,15527
795,0.20213228035538006,101300,20476
796,0.20182185433086458,126245,25479
797,0.20183558721672834,151886,30656
798,0.20250100621617995,178888,36225
799,0.20351288169555348,206611,42048
800,0.20159303486424068,233391,47050
801,0.19863688113480416,259992,51644
802,0.19417472330985447,285789,55493
803,0.1905046512748831,311205,59286
804,0.18739316871211,338150,63367
805,0.1843228315082233,363905,67076
806,0.1812613150098749,388864,70486
807,0.17881192417153055,414620,74139
808,0.17788548814580837,440688,78392
809,0.17859096308830943,468036,83587
810,0.18334282575973312,491620,90135
811,0.1891929026053066,516753,97766
812,0.1942981314398492,541647,105241
813,0.1986817126444082,566796,112612
814,0.2028246915250797,591215,119913
815,0.20432213399934987,621406,126967
