Supply 10/19/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,4374,4389,4434,4448,4524,4553,4561,4545,4568,4582,4618,4679,4736,4765,4753,4695,4620,4552,4514,4502,4517,4515,4566,4566,4554,4551,4527,4528,4513,4531,4533,4590,4566,4546,4525,4513,4427,4406,4418,4442,4425,4410,4386,4345,4270,4230,4208,4161,4127,4147,4210,4233,4221,4191,4209,4264,4323,4392,4445,4494,4558,4644,4668,4666,4741,4776,4786,4766,4703,4638,4525,4434,4340,4337,4337,4305,4285,4279,4306,4367,4406,4435,4470,4482,4482,4542,4682,4839,4997,5190,5460,5784,6088,6369,6699,7090,7492,7856,8236,8664,9092,9519,9899,10352,10656,10968,11208,11391,11725,11915,11795,11749,11779,12222,12447,12572,12651,12523,12478,12360,12227,12613,12601,12582,12671,12609,12651,12674,12635,12718,12657,12589,12608,12620,12847,12935,12657,13070,13150,13156,13591,13672,13720,13673,13263,13492,13492,13396,13342,12832,12754,12559,12412,12291,12144,12076,12424,12549,12840,13034,13266,13447,13559,13621,13565,13706,13841,13983,14145,14317,14459,14397,14289,14135,14317,14131,14235,14259,14199,14063,13829,13489,13076,13088,13085,12966,12959,12776,12724,12484,12383,12186,12031,11842,11376,11139,10964,10846,10694,10318,9724,9474,9079,8802,8414,8053,7635,7208,6708,6256,5847,5483,5218,4933,4730,4627,4520,4446,4397,4312,4255,4280,4342,4347,4309,4299,4353,4354,4345,4388,4410,4458,4530,4595,4595,4627,4642,4649,4623,4588,4559,4551,4533,4555,4557,4528,4534,4553,4565,4608,4635,4575,4535,4512,4500,4513,4497,4488,4473,4480,4445,4417,4418,4445,4420,4408,4367,4325,4304,4263,4210,4186,4162,4172,4223,4251,4227,4271,4305,4348,4338,4332,4334,4335,4362,4425,4424,4471,
Natural gas,8601,8542,8391,8363,8326,8297,8264,8132,8017,7933,7862,7869,7903,7909,7801,7752,7723,7717,7703,7623,7557,7638,7676,7600,7568,7468,7300,7050,6897,6914,6947,6938,6928,6919,6902,6918,6964,6987,6994,7026,7057,7057,7073,7054,7081,7052,7061,7071,7069,7095,7124,7095,7090,7086,7070,7093,7144,7127,7127,7113,7048,6926,6774,6708,6759,6814,6827,6852,6866,6885,6981,7015,7090,7186,7159,7145,7212,7218,7242,7290,7290,7309,7283,7260,7288,7235,7237,7285,7272,7250,7223,7156,7033,6920,6696,6383,6115,5931,5709,5449,5138,4861,4478,4336,4245,4093,4013,3901,3898,3683,3430,3333,3066,3076,2962,3004,2890,2824,2737,2552,2483,2435,2507,2517,2480,2494,2529,2520,2496,2497,2492,2506,2521,2519,2586,2557,2531,2465,2322,2326,2211,2169,2185,2173,2210,2128,2158,2231,2261,2287,2216,2263,2254,2323,2250,2266,2140,2297,2248,2263,2204,2248,2259,2222,2251,2177,2194,2173,2208,2262,2248,2378,2384,2360,2204,2266,2367,2347,2521,2673,2708,2776,2888,2936,2984,3144,3241,3329,3471,3745,3930,3997,4178,4420,4506,4531,4639,4658,4875,5260,5357,5613,5848,6084,6208,6616,6312,6427,6894,7029,7210,7545,7722,7858,8174,8494,8754,9089,9210,9492,9746,9753,9833,9851,9902,9960,9896,9784,9811,9931,10147,10039,9882,9815,9717,9616,9561,9558,9465,9426,9474,9379,9521,9583,9505,9413,9323,9252,9222,9192,9136,9193,9182,9123,9105,9057,8928,8744,8780,8760,8724,8729,8728,8733,8723,8630,8483,8587,8429,8259,8337,8282,8224,8180,8072,8032,7999,7854,7769,7750,7656,7569,7494,7401,7343,7244,7168,7154
Large hydro,1816,1770,1656,1634,1625,1625,1624,1627,1617,1617,1621,1607,1589,1563,1566,1560,1563,1564,1566,1568,1561,1552,1550,1547,1556,1521,1527,1524,1517,1507,1508,1514,1512,1514,1520,1515,1510,1463,1449,1448,1444,1450,1446,1447,1451,1448,1434,1441,1455,1509,1503,1510,1519,1529,1526,1517,1528,1528,1540,1537,1532,1592,1649,1645,1646,1638,1633,1648,1657,1658,1695,1721,1704,1814,1917,1932,1961,1966,1957,1958,1939,1966,1972,1953,1869,1730,1662,1643,1629,1580,1530,1524,1507,1512,1496,1473,1359,1097,1014,1013,1011,1043,1017,1005,1013,990,1033,1028,1069,1220,1271,1329,1275,1154,1077,1129,1159,1178,1219,1266,1268,1111,1067,1048,1062,1059,1076,1107,1096,1060,1055,1067,1063,1051,1035,997,1086,1148,1080,1094,1063,1035,1064,1086,1138,1089,996,1013,1031,1083,1097,1121,1079,1125,1141,1190,1134,1039,999,974,979,1025,1055,1061,1072,1045,1046,1029,1045,1041,1036,1091,1218,1363,1271,1122,1096,1043,1048,1095,1156,1228,1326,1381,1256,1206,1198,1194,1149,1157,1154,1182,1212,1319,1409,1450,1462,1437,1411,1403,1438,1505,1532,1540,1664,1773,1837,1976,2083,2232,2401,2543,2759,2825,2692,2575,2513,2692,2770,2762,2765,2766,2773,2795,2796,2912,3017,2985,2915,2919,2902,2865,2908,2929,2923,2923,2931,2926,2936,2953,2917,2646,2576,2566,2533,2548,2556,2554,2549,2558,2557,2539,2447,2167,2171,2118,2074,2061,2021,2029,2019,2016,2017,2015,1990,1931,1944,1863,1875,1879,1830,1793,1772,1762,1759,1748,1734,1576,1519,1493,1506,1498,1500,1489,1489,1485,1476,1469
Imports,5880,5810,5900,5955,5866,5775,5667,5735,5776,5755,5697,5583,5439,5355,5373,5367,5377,5392,5359,5372,5375,5241,5133,5189,5152,5250,5388,5564,5703,5676,5585,5508,5467,5466,5449,5456,5460,5480,5474,5419,5355,5349,5368,5380,5390,5435,5487,5533,5506,5448,5462,5472,5433,5475,5477,5415,5406,5366,5292,5281,5334,5462,5534,5587,5500,5462,5502,5496,5594,5670,5700,5760,5911,5997,6051,6173,6130,6201,6227,6227,6300,6275,6235,6287,6342,6475,6549,6408,6326,6227,6021,5848,5718,5502,5378,5369,5280,5407,5430,5327,5251,5186,5198,4935,4698,4530,4389,4293,3995,3939,4195,4287,4515,4329,4352,4104,3946,4064,4159,4443,4562,4447,4515,4523,4470,4438,4275,4192,4202,4111,4157,4132,4140,4115,3950,3860,3994,3464,3564,3551,3232,3263,3105,3085,3320,3157,3258,3232,3173,3555,3600,3809,4038,4112,4278,4340,4161,4128,3994,3927,3764,3466,3301,3252,3398,3353,3278,3218,3074,2912,2780,2755,2797,2874,2863,3285,3344,3375,3349,3315,3535,3860,4136,4014,4240,4333,4313,4515,4372,4465,4548,4601,4594,4493,4769,4937,5065,5205,5247,5339,5853,5864,6089,6236,6600,6407,7087,7320,7523,7810,7941,7861,7853,7959,8056,8080,8063,7765,7565,7512,7429,7592,7604,7699,7791,7782,7705,7841,7856,7703,7480,7512,7543,7493,7523,7537,7503,7479,7520,7514,7474,7631,7650,7539,7561,7624,7649,7586,7518,7429,7386,7311,7321,7615,7657,7683,7928,8012,8010,7914,7875,7809,7705,7578,7521,7538,7568,7630,7626,7643,7658,7581,7520,7487,7475,7372,7333,7334,7308,7271,7261,7249,7205,7160,7105,7054,7049,6937
Batteries,-34,37,0,-1,0,-2,-2,-2,-2,-2,-2,-9,-18,-20,0,0,14,7,0,0,0,-5,-19,-29,-6,-16,0,0,0,0,0,-2,0,0,0,0,0,0,0,-3,-8,-12,-31,-6,-7,0,-23,-10,-16,-4,-39,-9,-14,0,0,-6,-40,-45,-8,-36,-45,-36,8,8,8,-7,-9,8,8,8,40,14,8,6,-4,2,6,6,1,2,-2,5,6,6,32,40,0,0,0,0,0,0,-9,-8,-12,-11,-11,59,72,44,37,-15,3,3,4,68,89,67,-10,41,79,109,30,-70,-96,-20,-17,19,56,47,34,-39,-74,-47,-40,-13,18,15,7,-10,-15,-4,-15,-50,-94,-83,34,57,-27,12,-22,-52,5,16,64,6,-48,3,21,92,85,46,4,60,86,106,4,-85,-97,-96,-83,0,2,2,16,5,-2,-27,-37,-23,-21,21,72,98,12,4,9,-35,-8,11,34,55,77,53,-32,-20,-12,-24,-52,-65,-93,-29,-15,-66,-16,34,19,-13,-46,-43,25,66,0,-46,-82,-67,-66,15,105,98,78,78,78,-4,-30,-31,-35,4,6,8,8,7,6,5,5,5,5,5,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,12,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,19,58,46,11,-31,-33,-32,-21,0,1,0,-12,-20,30,-31,-55,34,-11,-62,-15,11,-23,-45,-46,-44,-14,0,-18,-23,-29,-29,-17,-12,-15,-33,-42
Nuclear,1137,1136,1136,1137,1137,1137,1137,1137,1137,1137,1136,1137,1137,1137,1136,1136,1137,1137,1137,1137,1137,1137,1137,1136,1137,1137,1137,1137,1136,1136,1137,1136,1137,1138,1138,1137,1137,1137,1138,1138,1137,1138,1137,1137,1138,1137,1138,1137,1138,1137,1136,1137,1137,1136,1137,1137,1137,1137,1137,1136,1137,1137,1137,1137,1136,1136,1137,1136,1136,1136,1135,1136,1136,1136,1136,1136,1136,1135,1136,1136,1136,1136,1136,1135,1135,1135,1135,1135,1135,1135,1136,1136,1136,1136,1135,1136,1136,1137,1135,1136,1135,1136,1137,1136,1137,1136,1136,1136,1137,1137,1137,1136,1137,1137,1138,1138,1137,1137,1137,1137,1137,1137,1137,1137,1136,1137,1137,1136,1136,1136,1136,1136,1136,1136,1136,1136,1137,1136,1136,1136,1136,1136,1136,1137,1137,1137,1137,1136,1136,1137,1137,1137,1137,1137,1136,1137,1137,1137,1137,1137,1137,1136,1136,1136,1136,1137,1136,1136,1136,1136,1136,1136,1135,1136,1135,1135,1135,1135,1135,1135,1135,1135,1134,1134,1134,1134,1135,1134,1135,1134,1134,1135,1134,1134,1133,1134,1133,1134,1134,1134,1134,1134,1133,1134,1135,1134,1134,1134,1134,1134,1134,1134,1134,1134,1135,1134,1134,1134,1134,1134,1134,1134,1133,1135,1134,1135,1134,1135,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1133,1134,1134,1134,1133,1133,1134,1134,1133,1133,1134,1133,1133,1133,1133,1133,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1133,1134,1134,1133,1133,1134,1134,1134,1135,1134,1134,1135,1135,1135,1135,1135,1135,1135,1134,1135,1135,1136,1135,1136
Coal,14,15,15,15,15,15,14,13,13,14,13,13,13,13,13,13,14,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,13,14,14,14,13,14,14,13,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,13,13,14,14,14,14,15,14,14,13,13,14,14,13,14,14,12,13,12,13,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,14,14,13,13,14,14,13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,14,13,13,14,14,15,14,14,14,13,13,14,13,14,14,14,13,13,14,14,14,14,14,15,14,14,14,14,14,14,15,15,15,15,14,14,14,14,14,14,13,14,14,14,14,14,16,15,16,15,15,16,16,15,15,15,15,15,16,16,16,16,15,15,15,15,15,14,15,14,14,14,14,14,14,14,14,13,14,13,12,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,14,14,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,14,13,13,13,13,14,13,13,13,13
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
