i,cluster,kwh_ann_tot,customer_count,util,slap,sector,building_type,care,kwh_bin,kw_bin,poolpump_penetration,hvac_penetration,weather_station,bev_count,bev_work_count,phev_count,phev_work_count,battery_kwh_per_customer,cluster_oldname
1,pge-com-PGCC-com_other-noKW-Care-0.0_1.0," 1,742,474 ",49,pge,PGCC,com,office,Care,0.0_1.0,noKW,NA,0.666666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-Care-0.0_1.0
2,pge-com-PGCC-com_other-noKW-nonCare-0.0_0.1,"417,259",1752,pge,PGCC,com,com_other,nonCare,0.0_0.1,noKW,NA,0.151515152,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.0_0.1
3,pge-com-PGCC-com_other-noKW-nonCare-0.1_0.2,"2,186,239",1752,pge,PGCC,com,com_other,nonCare,0.1_0.2,noKW,NA,0.151898734,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.1_0.2
4,pge-com-PGCC-com_other-noKW-nonCare-0.2_0.3,"4,645,043",1749,pge,PGCC,com,com_other,nonCare,0.2_0.3,noKW,NA,0.328571429,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.2_0.3
5,pge-com-PGCC-com_other-noKW-nonCare-0.3_0.4,"7,683,064",1752,pge,PGCC,com,com_other,nonCare,0.3_0.4,noKW,NA,0.386666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.3_0.4
6,pge-com-PGCC-com_other-noKW-nonCare-0.4_0.5,"11,723,841",1752,pge,PGCC,com,com_other,nonCare,0.4_0.5,noKW,NA,0.481012658,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.4_0.5
7,pge-com-PGCC-com_other-noKW-nonCare-0.5_0.6,"17,938,719",1749,pge,PGCC,com,com_other,nonCare,0.5_0.6,noKW,NA,0.365853659,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.5_0.6
8,pge-com-PGCC-com_other-noKW-nonCare-0.6_0.7,"28,907,644",1752,pge,PGCC,com,com_other,nonCare,0.6_0.7,noKW,NA,0.461538462,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.6_0.7
9,pge-com-PGCC-com_other-noKW-nonCare-0.7_0.8,"49,872,867",1750,pge,PGCC,com,com_other,nonCare,0.7_0.8,noKW,NA,0.577464789,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.7_0.8
10,pge-com-PGCC-com_other-noKW-nonCare-0.8_0.9,"94,226,229",1750,pge,PGCC,com,com_other,nonCare,0.8_0.9,noKW,NA,0.821428571,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.8_0.9
11,pge-com-PGCC-com_other-noKW-nonCare-0.9_1.0,"573,097,129",1752,pge,PGCC,com,com_other,nonCare,0.9_1.0,noKW,NA,0.525423729,724915,NA,NA,NA,NA,NA,pge-com-PGCC-com_other-noKW-nonCare-0.9_1.0
12,pge-com-PGCC-office-50_200kW-nonCare-0.0_1.0,"82,342,824",265,pge,PGCC,com,office,nonCare,0.0_1.0,50_200kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-50_200kW-nonCare-0.0_1.0
13,pge-com-PGCC-office-lt50kW-nonCare-0.0_0.1,"355,528",899,pge,PGCC,com,office,nonCare,0.0_0.1,<50kW,NA,0.68852459,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.0_0.1
14,pge-com-PGCC-office-lt50kW-nonCare-0.1_0.2,"1,689,208",899,pge,PGCC,com,office,nonCare,0.1_0.2,<50kW,NA,0.866666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.1_0.2
15,pge-com-PGCC-office-lt50kW-nonCare-0.2_0.3,"3,072,610",899,pge,PGCC,com,office,nonCare,0.2_0.3,<50kW,NA,0.777777778,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.2_0.3
16,pge-com-PGCC-office-lt50kW-nonCare-0.3_0.4,"4,375,420",899,pge,PGCC,com,office,nonCare,0.3_0.4,<50kW,NA,0.745098039,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.3_0.4
17,pge-com-PGCC-office-lt50kW-nonCare-0.4_0.5,"5,865,804",899,pge,PGCC,com,office,nonCare,0.4_0.5,<50kW,NA,0.825,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.4_0.5
18,pge-com-PGCC-office-lt50kW-nonCare-0.5_0.6,"7,918,986",898,pge,PGCC,com,office,nonCare,0.5_0.6,<50kW,NA,0.892857143,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.5_0.6
19,pge-com-PGCC-office-lt50kW-nonCare-0.6_0.7,"11,155,589",899,pge,PGCC,com,office,nonCare,0.6_0.7,<50kW,NA,0.905660377,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.6_0.7
20,pge-com-PGCC-office-lt50kW-nonCare-0.7_0.8,"16,385,088",899,pge,PGCC,com,office,nonCare,0.7_0.8,<50kW,NA,0.914893617,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.7_0.8
21,pge-com-PGCC-office-lt50kW-nonCare-0.8_0.9,"27,840,865",899,pge,PGCC,com,office,nonCare,0.8_0.9,<50kW,NA,0.854166667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.8_0.9
22,pge-com-PGCC-office-lt50kW-nonCare-0.9_1.0,"81,933,606",899,pge,PGCC,com,office,nonCare,0.9_1.0,<50kW,NA,0.780487805,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office-<50kW-nonCare-0.9_1.0
23,pge-com-PGCC-office-gt200kW-nonCare-0.0_0.5,"32,405,745",36,pge,PGCC,com,office,nonCare,0.0_0.5,>200kW,NA,0.166666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office->200kW-nonCare-0.0_0.5
24,pge-com-PGCC-office-gt200kW-nonCare-0.5_1.0,"137,669,927",36,pge,PGCC,com,office,nonCare,0.5_1.0,>200kW,NA,0.347826087,724915,NA,NA,NA,NA,NA,pge-com-PGCC-office->200kW-nonCare-0.5_1.0
25,pge-com-PGCC-ref_wh-lt50kW-nonCare-0.0_1.0,"1,321,003",38,pge,PGCC,com,ref_wh,nonCare,0.0_1.0,<50kW,NA,0,724915,NA,NA,NA,NA,NA,pge-com-PGCC-ref_wh-<50kW-nonCare-0.0_1.0
26,pge-com-PGCC-retail-50_200kW-nonCare-0.0_0.5,"35,688,518",164,pge,PGCC,com,retail,nonCare,0.0_0.5,50_200kW,NA,0.727272727,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-50_200kW-nonCare-0.0_0.5
27,pge-com-PGCC-retail-50_200kW-nonCare-0.5_1.0,"84,813,700",162,pge,PGCC,com,retail,nonCare,0.5_1.0,50_200kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-50_200kW-nonCare-0.5_1.0
28,pge-com-PGCC-retail-lt50kW-nonCare-0.0_0.1,"489,789",369,pge,PGCC,com,retail,nonCare,0.0_0.1,<50kW,NA,0.72,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.0_0.1
29,pge-com-PGCC-retail-lt50kW-nonCare-0.1_0.2,"1,468,594",369,pge,PGCC,com,retail,nonCare,0.1_0.2,<50kW,NA,0.95,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.1_0.2
30,pge-com-PGCC-retail-lt50kW-nonCare-0.2_0.3,"2,389,159",367,pge,PGCC,com,retail,nonCare,0.2_0.3,<50kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.2_0.3
31,pge-com-PGCC-retail-lt50kW-nonCare-0.3_0.4,"3,477,406",369,pge,PGCC,com,retail,nonCare,0.3_0.4,<50kW,NA,0.933333333,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.3_0.4
32,pge-com-PGCC-retail-lt50kW-nonCare-0.4_0.5,"5,100,412",367,pge,PGCC,com,retail,nonCare,0.4_0.5,<50kW,NA,0.944444444,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.4_0.5
33,pge-com-PGCC-retail-lt50kW-nonCare-0.5_0.6,"7,087,552",369,pge,PGCC,com,retail,nonCare,0.5_0.6,<50kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.5_0.6
34,pge-com-PGCC-retail-lt50kW-nonCare-0.6_0.7,"10,352,542",367,pge,PGCC,com,retail,nonCare,0.6_0.7,<50kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.6_0.7
35,pge-com-PGCC-retail-lt50kW-nonCare-0.7_0.8,"15,838,390",369,pge,PGCC,com,retail,nonCare,0.7_0.8,<50kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.7_0.8
36,pge-com-PGCC-retail-lt50kW-nonCare-0.8_0.9,"26,541,195",367,pge,PGCC,com,retail,nonCare,0.8_0.9,<50kW,NA,1,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.8_0.9
37,pge-com-PGCC-retail-lt50kW-nonCare-0.9_1.0,"55,058,357",369,pge,PGCC,com,retail,nonCare,0.9_1.0,<50kW,NA,0.866666667,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail-<50kW-nonCare-0.9_1.0
38,pge-com-PGCC-retail-gt200kW-nonCare-0.0_0.25,"19,507,997",22,pge,PGCC,com,retail,nonCare,0.0_0.25,>200kW,NA,0.090909091,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail->200kW-nonCare-0.0_0.25
39,pge-com-PGCC-retail-gt200kW-nonCare-0.25_0.5,"31,282,265",21,pge,PGCC,com,retail,nonCare,0.25_0.5,>200kW,NA,0,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail->200kW-nonCare-0.25_0.5
40,pge-com-PGCC-retail-gt200kW-nonCare-0.5_0.75,"40,428,082",21,pge,PGCC,com,retail,nonCare,0.5_0.75,>200kW,NA,0.071428571,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail->200kW-nonCare-0.5_0.75
41,pge-com-PGCC-retail-gt200kW-nonCare-0.75_1.0,"58,484,654",22,pge,PGCC,com,retail,nonCare,0.75_1.0,>200kW,NA,0.1875,724915,NA,NA,NA,NA,NA,pge-com-PGCC-retail->200kW-nonCare-0.75_1.0
42,pge-com-PGEB-com_other-noKW-Care-0.0_1.0,"12,284,061",189,pge,PGEB,com,retail,Care,0.0_1.0,noKW,NA,0.5,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-Care-0.0_1.0
43,pge-com-PGEB-com_other-noKW-nonCare-0.0_0.1,"1,827,064",4422,pge,PGEB,com,com_other,nonCare,0.0_0.1,noKW,NA,0.175,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.0_0.1
44,pge-com-PGEB-com_other-noKW-nonCare-0.1_0.2,"9,744,645",4415,pge,PGEB,com,com_other,nonCare,0.1_0.2,noKW,NA,0.339622642,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.1_0.2
45,pge-com-PGEB-com_other-noKW-nonCare-0.2_0.3,"18,711,658",4422,pge,PGEB,com,com_other,nonCare,0.2_0.3,noKW,NA,0.404255319,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.2_0.3
46,pge-com-PGEB-com_other-noKW-nonCare-0.3_0.4,"30,412,210",4414,pge,PGEB,com,com_other,nonCare,0.3_0.4,noKW,NA,0.361702128,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.3_0.4
47,pge-com-PGEB-com_other-noKW-nonCare-0.4_0.5,"47,591,145",4418,pge,PGEB,com,com_other,nonCare,0.4_0.5,noKW,NA,0.512820513,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.4_0.5
48,pge-com-PGEB-com_other-noKW-nonCare-0.5_0.6,"71,445,261",4418,pge,PGEB,com,com_other,nonCare,0.5_0.6,noKW,NA,0.48,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.5_0.6
49,pge-com-PGEB-com_other-noKW-nonCare-0.6_0.7,"110,355,326",4418,pge,PGEB,com,com_other,nonCare,0.6_0.7,noKW,NA,0.615384615,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.6_0.7
50,pge-com-PGEB-com_other-noKW-nonCare-0.7_0.8,"176,418,665",4418,pge,PGEB,com,com_other,nonCare,0.7_0.8,noKW,NA,0.627906977,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.7_0.8
51,pge-com-PGEB-com_other-noKW-nonCare-0.8_0.9,"311,763,189",4418,pge,PGEB,com,com_other,nonCare,0.8_0.9,noKW,NA,0.62745098,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.8_0.9
52,pge-com-PGEB-com_other-noKW-nonCare-0.9_1.0,"1,959,678,939",4419,pge,PGEB,com,com_other,nonCare,0.9_1.0,noKW,NA,0.179245283,724930,NA,NA,NA,NA,NA,pge-com-PGEB-com_other-noKW-nonCare-0.9_1.0
53,pge-com-PGEB-office-50_200kW-nonCare-0.0_0.2,"25,895,000",236,pge,PGEB,com,office,nonCare,0.0_0.2,50_200kW,NA,1,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-50_200kW-nonCare-0.0_0.2
54,pge-com-PGEB-office-50_200kW-nonCare-0.2_0.4,"42,722,578",236,pge,PGEB,com,office,nonCare,0.2_0.4,50_200kW,NA,0.785714286,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-50_200kW-nonCare-0.2_0.4
55,pge-com-PGEB-office-50_200kW-nonCare-0.4_0.6,"58,078,636",236,pge,PGEB,com,office,nonCare,0.4_0.6,50_200kW,NA,0.75,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-50_200kW-nonCare-0.4_0.6
56,pge-com-PGEB-office-50_200kW-nonCare-0.6_0.8,"83,488,580",236,pge,PGEB,com,office,nonCare,0.6_0.8,50_200kW,NA,0.764705882,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-50_200kW-nonCare-0.6_0.8
57,pge-com-PGEB-office-50_200kW-nonCare-0.8_1.0,"143,424,696",236,pge,PGEB,com,office,nonCare,0.8_1.0,50_200kW,NA,1,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-50_200kW-nonCare-0.8_1.0
58,pge-com-PGEB-office-lt50kW-nonCare-0.0_0.1,"846,302",2607,pge,PGEB,com,office,nonCare,0.0_0.1,<50kW,NA,0.347826087,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.0_0.1
59,pge-com-PGEB-office-lt50kW-nonCare-0.1_0.2,"5,574,642",2603,pge,PGEB,com,office,nonCare,0.1_0.2,<50kW,NA,0.635135135,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.1_0.2
60,pge-com-PGEB-office-lt50kW-nonCare-0.2_0.3,"9,931,539",2604,pge,PGEB,com,office,nonCare,0.2_0.3,<50kW,NA,0.583333333,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.2_0.3
61,pge-com-PGEB-office-lt50kW-nonCare-0.3_0.4,"13,361,038",2604,pge,PGEB,com,office,nonCare,0.3_0.4,<50kW,NA,0.577586207,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.3_0.4
62,pge-com-PGEB-office-lt50kW-nonCare-0.4_0.5,"17,600,586",2605,pge,PGEB,com,office,nonCare,0.4_0.5,<50kW,NA,0.551470588,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.4_0.5
63,pge-com-PGEB-office-lt50kW-nonCare-0.5_0.6,"24,103,407",2604,pge,PGEB,com,office,nonCare,0.5_0.6,<50kW,NA,0.753623188,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.5_0.6
64,pge-com-PGEB-office-lt50kW-nonCare-0.6_0.7,"35,368,233",2604,pge,PGEB,com,office,nonCare,0.6_0.7,<50kW,NA,0.823529412,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.6_0.7
65,pge-com-PGEB-office-lt50kW-nonCare-0.7_0.8,"54,909,692",2604,pge,PGEB,com,office,nonCare,0.7_0.8,<50kW,NA,0.932330827,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.7_0.8
66,pge-com-PGEB-office-lt50kW-nonCare-0.8_0.9,"93,103,463",2604,pge,PGEB,com,office,nonCare,0.8_0.9,<50kW,NA,0.881944444,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.8_0.9
67,pge-com-PGEB-office-lt50kW-nonCare-0.9_1.0,"241,157,499",2605,pge,PGEB,com,office,nonCare,0.9_1.0,<50kW,NA,0.901639344,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office-<50kW-nonCare-0.9_1.0
68,pge-com-PGEB-office-gt200kW-nonCare-0.0_0.1,"31,626,668",60,pge,PGEB,com,office,nonCare,0.0_0.1,>200kW,NA,0.129032258,724927,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.0_0.1
69,pge-com-PGEB-office-gt200kW-nonCare-0.1_0.2,"45,412,429",59,pge,PGEB,com,office,nonCare,0.1_0.2,>200kW,NA,0.03030303,724927,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.1_0.2
70,pge-com-PGEB-office-gt200kW-nonCare-0.2_0.3,"57,329,293",59,pge,PGEB,com,office,nonCare,0.2_0.3,>200kW,NA,0.176470588,724927,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.2_0.3
71,pge-com-PGEB-office-gt200kW-nonCare-0.3_0.4,"67,554,839",59,pge,PGEB,com,office,nonCare,0.3_0.4,>200kW,NA,0.081081081,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.3_0.4
72,pge-com-PGEB-office-gt200kW-nonCare-0.4_0.5,"79,632,972",59,pge,PGEB,com,office,nonCare,0.4_0.5,>200kW,NA,0.057142857,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.4_0.5
73,pge-com-PGEB-office-gt200kW-nonCare-0.5_0.6,"94,654,564",59,pge,PGEB,com,office,nonCare,0.5_0.6,>200kW,NA,0.111111111,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.5_0.6
74,pge-com-PGEB-office-gt200kW-nonCare-0.6_0.7,"113,255,463",59,pge,PGEB,com,office,nonCare,0.6_0.7,>200kW,NA,0.105263158,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.6_0.7
75,pge-com-PGEB-office-gt200kW-nonCare-0.7_0.8,"136,439,191",59,pge,PGEB,com,office,nonCare,0.7_0.8,>200kW,NA,0,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.7_0.8
76,pge-com-PGEB-office-gt200kW-nonCare-0.8_0.9,"202,861,555",59,pge,PGEB,com,office,nonCare,0.8_0.9,>200kW,NA,0.176470588,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.8_0.9
77,pge-com-PGEB-office-gt200kW-nonCare-0.9_1.0,"505,327,421",60,pge,PGEB,com,office,nonCare,0.9_1.0,>200kW,NA,0.3,724930,NA,NA,NA,NA,NA,pge-com-PGEB-office->200kW-nonCare-0.9_1.0
78,pge-com-PGEB-retail-50_200kW-nonCare-0.0_0.2,"28,682,417",207,pge,PGEB,com,retail,nonCare,0.0_0.2,50_200kW,NA,1,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-50_200kW-nonCare-0.0_0.2
79,pge-com-PGEB-retail-50_200kW-nonCare-0.2_0.4,"50,010,749",206,pge,PGEB,com,retail,nonCare,0.2_0.4,50_200kW,NA,0.888888889,724927,NA,NA,NA,NA,NA,pge-com-PGEB-retail-50_200kW-nonCare-0.2_0.4
80,pge-com-PGEB-retail-50_200kW-nonCare-0.4_0.6,"64,558,595",206,pge,PGEB,com,retail,nonCare,0.4_0.6,50_200kW,NA,0.846153846,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-50_200kW-nonCare-0.4_0.6
81,pge-com-PGEB-retail-50_200kW-nonCare-0.6_0.8,"83,702,379",206,pge,PGEB,com,retail,nonCare,0.6_0.8,50_200kW,NA,1,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-50_200kW-nonCare-0.6_0.8
82,pge-com-PGEB-retail-50_200kW-nonCare-0.8_1.0,"136,149,188",207,pge,PGEB,com,retail,nonCare,0.8_1.0,50_200kW,NA,0.8,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-50_200kW-nonCare-0.8_1.0
83,pge-com-PGEB-retail-lt50kW-nonCare-0.0_0.1,"1,243,915",859,pge,PGEB,com,retail,nonCare,0.0_0.1,<50kW,NA,0.745098039,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.0_0.1
84,pge-com-PGEB-retail-lt50kW-nonCare-0.1_0.2,"4,019,357",857,pge,PGEB,com,retail,nonCare,0.1_0.2,<50kW,NA,0.857142857,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.1_0.2
85,pge-com-PGEB-retail-lt50kW-nonCare-0.2_0.3,"6,925,363",857,pge,PGEB,com,retail,nonCare,0.2_0.3,<50kW,NA,0.914893617,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.2_0.3
86,pge-com-PGEB-retail-lt50kW-nonCare-0.3_0.4,"10,458,933",857,pge,PGEB,com,retail,nonCare,0.3_0.4,<50kW,NA,0.85,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.3_0.4
87,pge-com-PGEB-retail-lt50kW-nonCare-0.4_0.5,"15,338,879",859,pge,PGEB,com,retail,nonCare,0.4_0.5,<50kW,NA,0.977272727,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.4_0.5
88,pge-com-PGEB-retail-lt50kW-nonCare-0.5_0.6,"21,884,868",857,pge,PGEB,com,retail,nonCare,0.5_0.6,<50kW,NA,0.860465116,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.5_0.6
89,pge-com-PGEB-retail-lt50kW-nonCare-0.6_0.7,"32,508,080",857,pge,PGEB,com,retail,nonCare,0.6_0.7,<50kW,NA,0.863636364,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.6_0.7
90,pge-com-PGEB-retail-lt50kW-nonCare-0.7_0.8,"47,062,088",857,pge,PGEB,com,retail,nonCare,0.7_0.8,<50kW,NA,0.918367347,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.7_0.8
91,pge-com-PGEB-retail-lt50kW-nonCare-0.8_0.9,"70,115,890",857,pge,PGEB,com,retail,nonCare,0.8_0.9,<50kW,NA,0.979166667,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.8_0.9
92,pge-com-PGEB-retail-lt50kW-nonCare-0.9_1.0,"137,738,004",859,pge,PGEB,com,retail,nonCare,0.9_1.0,<50kW,NA,0.958333333,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail-<50kW-nonCare-0.9_1.0
93,pge-com-PGEB-retail-gt200kW-nonCare-0.0_0.2,"50,980,971",63,pge,PGEB,com,retail,nonCare,0.0_0.2,>200kW,NA,0.125,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail->200kW-nonCare-0.0_0.2
94,pge-com-PGEB-retail-gt200kW-nonCare-0.2_0.4,"89,345,767",63,pge,PGEB,com,retail,nonCare,0.2_0.4,>200kW,NA,0.071428571,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail->200kW-nonCare-0.2_0.4
95,pge-com-PGEB-retail-gt200kW-nonCare-0.4_0.6,"115,235,768",63,pge,PGEB,com,retail,nonCare,0.4_0.6,>200kW,NA,0.097560976,724930,NA,NA,NA,NA,NA,pge-com-PGEB-retail->200kW-nonCare-0.4_0.6
96,pge-com-PGEB-retail-gt200kW-nonCare-0.6_0.8,"143,826,784",63,pge,PGEB,com,retail,nonCare,0.6_0.8,>200kW,NA,0.071428571,724927,NA,NA,NA,NA,NA,pge-com-PGEB-retail->200kW-nonCare-0.6_0.8
97,pge-com-PGEB-retail-gt200kW-nonCare-0.8_1.0,"228,365,853",63,pge,PGEB,com,retail,nonCare,0.8_1.0,>200kW,NA,0.209302326,724927,NA,NA,NA,NA,NA,pge-com-PGEB-retail->200kW-nonCare-0.8_1.0
98,pge-com-PGF1-com_other-noKW-nonCare-0.0_0.1,"648,119",3577,pge,PGF1,com,com_other,nonCare,0.0_0.1,noKW,NA,0.162162162,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.0_0.1
99,pge-com-PGF1-com_other-noKW-nonCare-0.1_0.2,"2,262,476",3135,pge,PGF1,com,com_other,nonCare,0.1_0.2,noKW,NA,0.253164557,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.1_0.2
100,pge-com-PGF1-com_other-noKW-nonCare-0.2_0.3,"7,456,432",3355,pge,PGF1,com,com_other,nonCare,0.2_0.3,noKW,NA,0.384615385,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.2_0.3
101,pge-com-PGF1-com_other-noKW-nonCare-0.3_0.4,"14,556,949",3358,pge,PGF1,com,com_other,nonCare,0.3_0.4,noKW,NA,0.492307692,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.3_0.4
102,pge-com-PGF1-com_other-noKW-nonCare-0.4_0.5,"24,236,929",3354,pge,PGF1,com,com_other,nonCare,0.4_0.5,noKW,NA,0.464968153,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.4_0.5
103,pge-com-PGF1-com_other-noKW-nonCare-0.5_0.6,"37,351,188",3357,pge,PGF1,com,com_other,nonCare,0.5_0.6,noKW,NA,0.421383648,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.5_0.6
104,pge-com-PGF1-com_other-noKW-nonCare-0.6_0.7,"58,943,374",3355,pge,PGF1,com,com_other,nonCare,0.6_0.7,noKW,NA,0.567375887,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.6_0.7
105,pge-com-PGF1-com_other-noKW-nonCare-0.7_0.8,"97,383,976",3355,pge,PGF1,com,com_other,nonCare,0.7_0.8,noKW,NA,0.60130719,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.7_0.8
106,pge-com-PGF1-com_other-noKW-nonCare-0.8_0.9,"189,730,129",3355,pge,PGF1,com,com_other,nonCare,0.8_0.9,noKW,NA,0.726666667,723890,NA,NA,NA,NA,NA,pge-com-PGF1-com_other-noKW-nonCare-0.8_0.9
