Demand 09/01/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day ahead forecast,29674,27654,27654,27654,27654,27654,27654,27654,27654,27654,27654,27654,27654,26057,26057,26057,26057,26057,26057,26057,26057,26057,26057,26057,26057,24803,24803,24803,24803,24803,24803,24803,24803,24803,24803,24803,24803,23920,23920,23920,23920,23920,23920,23920,23920,23920,23920,23920,23920,23419,23419,23419,23419,23419,23419,23419,23419,23419,23419,23419,23419,23378,23378,23378,23378,23378,23378,23378,23378,23378,23378,23378,23378,23301,23301,23301,23301,23301,23301,23301,23301,23301,23301,23301,23301,23610,23610,23610,23610,23610,23610,23610,23610,23610,23610,23610,23610,24473,24473,24473,24473,24473,24473,24473,24473,24473,24473,24473,24473,25564,25564,25564,25564,25564,25564,25564,25564,25564,25564,25564,25564,27194,27194,27194,27194,27194,27194,27194,27194,27194,27194,27194,27194,29214,29214,29214,29214,29214,29214,29214,29214,29214,29214,29214,29214,31468,31468,31468,31468,31468,31468,31468,31468,31468,31468,31468,31468,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735,33735,35948,35948,35948,35948,35948,35948,35948,35948,35948,35948,35948,35948,37970,37970,37970,37970,37970,37970,37970,37970,37970,37970,37970,37970,39366,39366,39366,39366,39366,39366,39366,39366,39366,39366,39366,39366,40084,40084,40084,40084,40084,40084,40084,40084,40084,40084,40084,40084,39867,39867,39867,39867,39867,39867,39867,39867,39867,39867,39867,39867,39114,39114,39114,39114,39114,39114,39114,39114,39114,39114,39114,39114,37838,37838,37838,37838,37838,37838,37838,37838,37838,37838,37838,37838,35855,35855,35855,35855,35855,35855,35855,35855,35855,35855,35855,35855,32794,32794,32794,32794,32794,32794,32794,32794,32794,32794,32794,32794,29670,29670,29670,29670,29670,29670,29670,29670,29670,29670,29670,29670
Hour ahead forecast,27995,27457,27457,27457,27110,27110,27110,26584,26584,26584,26172,26172,26172,25723,25723,25723,25332,25332,25332,25022,25022,25022,24671,24671,24671,24380,24380,24380,24103,24103,24103,23863,23863,23863,23685,23685,23685,23419,23419,23419,23224,23224,23224,23065,23065,23065,22943,22943,22943,22845,22845,22845,22778,22778,22778,22674,22674,22674,22598,22598,22598,22714,22714,22714,22730,22730,22730,22754,22754,22754,22788,22788,22788,22960,22960,22960,22978,22978,22978,22827,22827,22827,22765,22765,22765,22862,22862,22862,22951,22951,22951,23040,23040,23040,23197,23197,23197,23508,23508,23508,23710,23710,23710,23924,23924,23924,24181,24181,24181,24540,24540,24540,24772,24772,24772,25064,25064,25064,25192,25192,25192,25525,25525,25525,25900,25900,25900,26269,26269,26269,26553,26553,26553,27056,27056,27056,27512,27512,27512,28008,28008,28008,28530,28530,28530,29141,29141,29141,29669,29669,29669,30195,30195,30195,30749,30749,30749,31472,31472,31472,31995,31995,31995,32470,32470,32470,33033,33033,33033,33529,33529,33529,34028,34028,34028,34492,34492,34492,34935,34935,34935,35508,35508,35508,35923,35923,35923,36368,36368,36368,36733,36733,36733,37084,37084,37084,37378,37378,37378,37743,37743,37743,37995,37995,37995,38134,38134,38134,38283,38283,38283,38329,38329,38329,38349,38349,38349,38228,38228,38228,38126,38126,38126,37858,37858,37858,37606,37606,37606,37261,37261,37261,37158,37158,37158,36895,36895,36895,36854,36854,36854,36317,36317,36317,35892,35892,35892,35379,35379,35379,34886,34886,34886,34232,34232,34232,33749,33749,33749,33133,33133,33133,32608,32608,32608,31932,31932,31932,31287,31287,31287,30669,30669,30669,29931,29931,29931,29230,29230,29230,28751,28751,28751,28160,28160,28160,27579,27579,27579
Demand (5 min. avg.),27756,27679,27588,27366,27183,27026,26864,26731,26590,26432,26283,26135,25997,25843,25723,25614,25506,25388,25246,25140,25016,24889,24803,24710,24557,24458,24466,24340,24265,24195,24088,24004,23917,23794,23719,23650,23503,23418,23439,23407,23312,23216,23206,23081,23048,22988,22923,22905,22854,22851,22840,22838,22806,22773,22752,22718,22692,22673,22660,22651,22643,22672,22739,22762,22750,22778,22778,22794,22772,22788,22773,22853,22851,22970,23044,23034,23021,22963,22903,22831,22769,22710,22667,22672,22691,22737,22852,22869,22902,22893,22915,23013,23081,23068,23089,23180,23262,23377,23483,23531,23605,23712,23782,23845,23948,23994,24059,24112,24204,24295,24464,24526,24590,24611,24744,24805,24789,24864,24922,25065,25198,25345,25490,25586,25684,25801,25910,26006,26143,26233,26385,26584,26721,26850,27048,27247,27380,27546,27715,27878,28023,28178,28358,28528,28723,28914,29012,29168,29406,29584,29744,29972,30200,30355,30563,30766,30980,31172,31310,31495,31709,31891,32113,32286,32475,32658,32820,32985,33133,33278,33408,33572,33747,33931,34107,34289,34466,34636,34823,35041,35203,35343,35466,35602,35807,35919,36061,36213,36327,36469,36619,36788,36902,36967,37035,37189,37308,37448,37592,37660,37752,37810,37922,38013,38082,38128,38155,38237,38275,38313,38346,38364,38394,38425,38449,38402,38413,38415,38349,38274,38171,38119,38034,37933,37835,37731,37567,37470,37349,37178,37078,36973,36793,36752,36718,36689,36662,36625,36586,36548,36496,36305,36186,36058,35909,35795,35649,35489,35326,35175,35005,34843,34684,34525,34393,34263,34072,33913,33766,33590,33448,33242,33023,32807,32580,32274,32043,31799,31626,31403,31159,30944,30758,30530,30262,30089,29895,29621,29426,29203,28973,28797,28594,28420,28227,28074,27856,27679,
