Demand 08/01/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day ahead forecast,29245,26775,26775,26775,26775,26775,26775,26775,26775,26775,26775,26775,26775,25311,25311,25311,25311,25311,25311,25311,25311,25311,25311,25311,25311,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,24271,23707,23707,23707,23707,23707,23707,23707,23707,23707,23707,23707,23707,23937,23937,23937,23937,23937,23937,23937,23937,23937,23937,23937,23937,25035,25035,25035,25035,25035,25035,25035,25035,25035,25035,25035,25035,26294,26294,26294,26294,26294,26294,26294,26294,26294,26294,26294,26294,27444,27444,27444,27444,27444,27444,27444,27444,27444,27444,27444,27444,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28550,28550,28550,28550,28550,28550,28550,28550,28550,28550,28550,28550,29305,29305,29305,29305,29305,29305,29305,29305,29305,29305,29305,29305,30238,30238,30238,30238,30238,30238,30238,30238,30238,30238,30238,30238,31425,31425,31425,31425,31425,31425,31425,31425,31425,31425,31425,31425,33042,33042,33042,33042,33042,33042,33042,33042,33042,33042,33042,33042,34745,34745,34745,34745,34745,34745,34745,34745,34745,34745,34745,34745,36381,36381,36381,36381,36381,36381,36381,36381,36381,36381,36381,36381,37599,37599,37599,37599,37599,37599,37599,37599,37599,37599,37599,37599,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38020,38020,38020,38020,38020,38020,38020,38020,38020,38020,38020,38020,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,37045,36432,36432,36432,36432,36432,36432,36432,36432,36432,36432,36432,36432,34644,34644,34644,34644,34644,34644,34644,34644,34644,34644,34644,34644,31708,31708,31708,31708,31708,31708,31708,31708,31708,31708,31708,31708,28985,28985,28985,28985,28985,28985,28985,28985,28985,28985,28985,28985
Hour ahead forecast,28013,27441,27441,27441,27163,27163,27163,26569,26569,26569,26140,26140,26140,25903,25903,25903,25501,25501,25501,25182,25182,25182,24936,24936,24936,24658,24658,24658,24408,24408,24408,24177,24177,24177,24031,24031,24031,23949,23949,23949,23807,23807,23807,23713,23713,23713,23664,23664,23664,23826,23826,23826,23942,23942,23942,23924,23924,23924,24094,24094,24094,24598,24598,24598,24874,24874,24874,25192,25192,25192,25487,25487,25487,25836,25836,25836,25974,25974,25974,26260,26260,26260,26501,26501,26501,27067,27067,27067,27267,27267,27267,27380,27380,27380,27477,27477,27477,27792,27792,27792,27986,27986,27986,28047,28047,28047,28207,28207,28207,28329,28329,28329,28357,28357,28357,28535,28535,28535,28676,28676,28676,29053,29053,29053,29163,29163,29163,29408,29408,29408,29739,29739,29739,29946,29946,29946,30250,30250,30250,30523,30523,30523,30813,30813,30813,31069,31069,31069,31348,31348,31348,31737,31737,31737,32196,32196,32196,32664,32664,32664,33137,33137,33137,33570,33570,33570,34186,34186,34186,34589,34589,34589,34953,34953,34953,35328,35328,35328,35880,35880,35880,36147,36147,36147,36456,36456,36456,36806,36806,36806,37159,37159,37159,37412,37412,37412,37504,37504,37504,37776,37776,37776,38091,38091,38091,38325,38325,38325,38511,38511,38511,38675,38675,38675,38751,38751,38751,38594,38594,38594,38631,38631,38631,38518,38518,38518,38331,38331,38331,38043,38043,38043,37784,37784,37784,37551,37551,37551,37426,37426,37426,37048,37048,37048,36907,36907,36907,36686,36686,36686,36337,36337,36337,35766,35766,35766,35227,35227,35227,34621,34621,34621,33895,33895,33895,33077,33077,33077,32287,32287,32287,31575,31575,31575,30783,30783,30783,30007,30007,30007,29382,29382,29382,28787,28787,28787,28139,28139,28139
Demand (5 min. avg.),27687,27611,27535,27349,27172,27010,26885,26742,26597,26446,26309,26198,26082,25969,25887,25760,25621,25544,25423,25305,25175,25097,24977,24895,24790,24686,24667,24593,24497,24414,24346,24235,24161,24090,24026,23966,23936,23889,23895,23859,23817,23780,23776,23707,23706,23673,23714,23584,23601,23638,23726,23740,23769,23783,23825,23884,23904,23948,23969,24038,24094,24244,24476,24612,24698,24741,24820,24961,25113,25171,25259,25279,25339,25596,25901,25974,26052,26052,26082,26226,26290,26377,26455,26552,26693,26846,26989,27061,27102,27136,27219,27264,27326,27364,27449,27506,27557,27660,27796,27806,27893,27911,27959,27970,28007,28028,27993,28070,28130,28173,28285,28324,28333,28355,28363,28414,28449,28534,28610,28713,28785,28843,28948,29004,29081,29166,29244,29327,29410,29506,29596,29626,29730,29800,29924,30030,30124,30212,30324,30391,30519,30640,30686,30781,30842,30892,31013,31111,31225,31337,31471,31595,31781,31953,32082,32229,32334,32497,32642,32747,32979,33195,33343,33457,33636,33784,33942,34139,34281,34429,34515,34671,34841,35032,35162,35274,35392,35436,35564,35761,35889,35945,36089,36200,36399,36543,36660,36669,36805,36901,37025,37153,37228,37262,37286,37401,37583,37716,37778,37871,37935,38075,38194,38305,38342,38261,38321,38424,38513,38607,38625,38694,38817,38807,38834,38853,38866,38732,38673,38711,38745,38737,38713,38701,38675,38588,38613,38540,38393,38257,38084,37993,37923,37818,37715,37591,37513,37432,37278,37218,37109,36999,36906,36930,36923,36868,36837,36761,36628,36533,36410,36256,36074,35875,35748,35549,35428,35259,35096,34848,34628,34425,34250,34009,33773,33353,32992,32745,32470,32259,32017,31732,31502,31234,30992,30784,30553,30250,29892,29700,29568,29311,29089,28868,28664,28455,28190,27987,
