"ANON_ACCT_ID","ANON_SA_ID","ANON_SERVPNT_ID","MultiFam","MasterMeter"
0170415870,4418325442,0276310070,MISSING,Other
0170415870,5384034539,0276310070,MISSING,Other
0172315834,8512620733,6224210070,INDIV,Other
0172315834,9432220456,8496610053,INDIV,Other
0173915727,6111420786,7964710069,INDIV,Other
0179815706,5914820633,5878010009,MISSING,Other
0179815845,1667520643,6424310002,INDIV,Other
0179815845,3752120456,8724710086,INDIV,Other
0179915858,5791420837,1853710068,MISSING,Other
0184315794,4464520574,7282210100,INDIV,Other
0184315794,7070120721,9883910017,INDIV,Other
0184915722,5183120525,4908410016,INDIV,Other
0188815826,2808520881,9680610037,INDIV,Other
0188815826,3553220612,4277910001,INDIV,Other
0189815772,2198420334,4484710026,INDIV,Other
0192215683,1525920447,5317710009,INDIV,Other
0192915849,5639720793,6265810015,MISSING,Other
0192915849,9412033520,6265810015,MISSING,Other
0193615786,8816820696,3389110096,INDIV,Other
0193615786,9640420668,1085910100,INDIV,Other
0195015856,8176520827,0302410007,MISSING,Other
0195315727,8853920587,9002610103,INDIV,Other
0198115779,3865420440,6302710085,INDIV,Other
0198815719,7960427413,1459810088,INDIV,Other
0201215852,0280220881,5863110096,INDIV,Other
0201215852,2952320808,6396310114,INDIV,Other
0202415782,3356220700,8085510106,INDIV,Other
0203215877,0344833942,2772310045,INDIV,Other
0203215877,2807234858,2772310045,INDIV,Other
0203215877,4456533937,2668210011,INDIV,Other
0204115756,3763220307,2238610072,MISSING,Other
0206415761,0776020422,6248510031,INDIV,Other
0206415761,9166320286,4874010000,INDIV,Other
0209315851,4052420803,6978910069,INDIV,Other
0210115717,7721220617,3575010029,INDIV,Other
0216115713,2450421206,9651310035,MISSING,Other
0216115713,2998120626,4639510064,MISSING,Other
0216115713,3410020852,9967710036,MISSING,Other
0216115713,3962320840,2197110085,MISSING,Other
0216115713,4144620421,4135710099,MISSING,Other
0216115713,5472720467,1151010036,MISSING,Other
0216115713,6258420765,6165410082,MISSING,Other
0216115713,7142320459,9427510087,MISSING,Other
0216115713,8183820265,8392210018,MISSING,Other
0216115713,9770120819,8429010064,MISSING,Other
0218415724,4695820581,2308510113,INDIV,Other
0218915705,3382020881,8236410019,INDIV,Other
0219715876,5952532703,3244210080,INDIV,Other
0219715876,6892232701,5309810042,INDIV,Other
0219915823,6245720422,7543510022,INDIV,Other
0219915823,8306320411,6870510055,INDIV,Other
0220015755,0080520460,5060110105,MISSING,Other
0220115871,0586827690,3446810067,INDIV,Other
0220115871,5974427705,2595910102,INDIV,Other
0223315827,2842320471,0199910004,MISSING,Other
0223515880,4903637506,7504410182,MISSING,Other
0223515880,9163237320,7504410182,MISSING,Other
0224115751,5952320802,2747510067,INDIV,Other
0224315856,8054320827,7337010015,INDIV,Other
0224315856,8250920827,0005910007,INDIV,Other
0225715733,6668620333,7871410079,INDIV,Other
0225715733,8370420483,0923610111,INDIV,Other
0226915875,3577331458,2716310091,INDIV,Other
0226915875,4536031473,9644710059,INDIV,Other
0227115860,0003820849,0409210008,INDIV,Other
0227115860,9263320848,6206810022,INDIV,Other
0228115869,4307830170,4885910019,INDIV,Other
0228515826,2806220267,7683710057,INDIV,Other
0228515826,5363820551,5758810025,INDIV,Other
0230415721,6156120842,1632010111,MISSING,Other
0231815728,4567220378,5718710081,INDIV,Other
0231815728,7230320447,3388510049,INDIV,Other
0232015794,5121220419,7736910099,INDIV,Other
0232015794,9259820883,2125910019,INDIV,Other
0237115788,8181320542,5541810075,MISSING,Other
0237115829,6375720350,3193810098,INDIV,Other
0238515804,2948629759,9705010083,INDIV,Other
0238515804,4458829747,1419010021,INDIV,Other
0239115741,8348120356,3276610002,MISSING,Other
0243115696,0927620471,6425810047,INDIV,Other
0243115696,4415320392,6425810047,INDIV,Other
0243115696,5834220441,1448610016,INDIV,Other
0243115696,7490620598,1448610016,INDIV,Other
0250015705,2223720651,6731010080,INDIV,Other
0250015705,5535520482,7437110000,INDIV,Other
0250815865,6892920879,3178310058,INDIV,Other
0252715698,4494120371,0867610084,INDIV,Other
0252715698,7854220518,5842610007,INDIV,Other
0253615849,1138733531,1198410077,MISSING,Other
0253615849,4819620793,1198410077,MISSING,Other
0253615849,8620320793,1198410077,MISSING,Other
0258615814,1911120673,0496410086,INDIV,Other
0262215729,8652526345,4837810047,INDIV,Other
0263715764,0605120706,9898610032,INDIV,Other
0263715764,1034320627,7589310063,INDIV,Other
0266815871,0396436727,4576810076,INDIV,Other
0267115866,5716820887,6048510002,INDIV,Other
0267115866,5864420887,2293610085,INDIV,Other
0267115866,6131420887,2293610085,INDIV,Other
0267115866,6226220887,6048510002,INDIV,Other
0267115866,8705630728,6048510002,INDIV,Other
0267615866,2994129869,0613610050,INDIV,Other
0267615866,5329120887,3064110072,INDIV,Other
0267615866,5674529869,0606010014,INDIV,Other
0267615866,5841920887,4187510032,INDIV,Other
0268115761,3628320278,9524310052,INDIV,Other
0268115761,5328920466,6283110018,INDIV,Other
0268415847,4410820782,4314610016,INDIV,Other
0268415847,4715220782,1236010067,INDIV,Other
0272215736,9712720350,0417010015,INDIV,Other
0272615851,4426020803,5863110096,INDIV,Other
0272915856,7899220827,2925910079,INDIV,Other
0272915856,8815720827,2472410035,INDIV,Other
0273415863,7728420867,6738910131,INDIV,Other
0273415863,8365220867,6739210131,INDIV,Other
0274515803,7473920716,6653310018,INDIV,Other
0275515849,6446320793,2905210044,MISSING,Other
0275515849,7420533553,2905210044,MISSING,Other
0276015793,0622920613,4990110112,MISSING,Other
0276015793,1785320649,8250610031,MISSING,Other
0276115849,4872435635,9369510101,INDIV,Other
0276115849,6152135650,6004410019,INDIV,Other
0276115849,8596520792,0371410089,INDIV,Other
0276115849,9778520792,8501410006,INDIV,Other
0278715868,4474425369,0413310069,INDIV,Other
0280515706,0656434630,9896410070,INDIV,Other
0280515706,1059434637,6218610035,INDIV,Other
0280515706,5777320308,5349910014,INDIV,Other
0280815742,6679220618,9657910073,INDIV,Other
