,ID,NetDemand (kWh),Max Demand (kWh),Annual Energy Cost1 ($),Annual Energy Cost2 ($)
0,0,7606.924591116,"(5.81, Timestamp('2019-09-14 18:00:00'))",6014.323383116001,6014.323383116001
1,1,16049.914591116,"(8.37, Timestamp('2019-01-23 22:00:00'))",14457.313383116,14457.313383116
