,cooling,base,SH,WH
0,0.0,0.00012797002849776796,0.0006070510362665534,0.0
1,0.0,0.00010992777128241717,0.0008017417409826666,0.0
2,0.0,0.00010157024915999631,0.0007956466419583061,0.0
3,0.0,9.807364287443176e-05,0.0007914539754492784,0.0
4,0.0,9.512610779305612e-05,0.0008036815417359613,0.0
5,0.0,9.48027190614347e-05,0.0008057712002670196,0.0
6,0.0,0.00010777185704801297,0.0008046111753694891,0.0
7,0.0,0.00012239835585071756,0.0008000348355975634,0.0
8,0.0,0.00011329637113954068,0.0008063541367544159,0.0
9,0.0,0.00010651536825886182,0.0007850220288160559,0.0
10,0.0,0.00011339170988584111,0.0007416145362715362,0.0002199943961308885
11,0.0,0.00010453673486879599,0.00042280019360004163,0.00033553701431380753
12,0.0,9.821475445842487e-05,0.00036496279519693036,0.00034556930432968997
13,0.0,9.698041792206358e-05,0.0001868440039618923,0.00033947545945047734
14,0.0,9.215378433251107e-05,2.2956409802079164e-05,0.0003609751995279925
15,0.0,8.80321847600605e-05,4.0008720078091305e-05,0.00038473247082647296
16,0.0,0.00010243106903080849,0.00014058872668005592,0.0004051747245544879
17,0.0,0.00014258157119572884,0.00025996666498371635,0.00032904102673830615
18,0.0,0.00016901586489518738,0.0002751989337908067,0.0
19,0.0,0.00018674248631193736,0.0002944354840539,0.0001110945795237033
20,0.0,0.00016942178019103981,0.00030936835373814844,0.00035356960347279027
21,0.0,0.00016386754376192033,0.00034615279892916904,0.00038617826956789225
22,0.0,0.0001421889228341537,0.0003855170796783127,0.0004134441826980143
23,0.0,0.00011844360502563527,0.0004078894404630938,3.729607540687063e-05
24,0.0,0.00010346004504075513,0.00042090554423447195,0.0
25,0.0,9.092208736237869e-05,0.00042769063430388784,0.0
26,0.0,8.706166248647709e-05,0.00043514537983081086,0.0
27,0.0,8.409391766895032e-05,0.0004277280782303592,0.0
28,0.0,8.311028504507105e-05,0.0004239485041048527,0.0
29,0.0,9.066270124325393e-05,0.00043016414756788567,0.0
30,0.0,0.00010170499508104777,0.0004429237703371556,0.0
31,0.0,0.0001247024802025013,0.00044457187486931333,0.0
32,0.0,0.00011622032621352876,0.00044761964871129346,0.00020812799498166768
33,0.0,9.6565519254059e-05,0.0004362303481720939,0.00032160989781349823
34,2.4907909832851125e-06,9.686729968176509e-05,0.0004380559696168097,0.0003483460038993032
35,4.156928195078004e-06,8.401025879092825e-05,0.00043063306524282013,0.00037103515015261444
36,6.49385694801645e-06,7.492974568180447e-05,0.00041506334605451937,0.0003721054029369174
37,6.310368576622854e-06,7.523145835490154e-05,0.0003784592684059527,0.00039552010823485555
38,8.871502865540836e-06,6.950921043784615e-05,0.00035282643538826536,0.00042255197006025924
39,8.232732320551663e-06,6.571159588616467e-05,0.0003619509578945957,2.2437009165955493e-05
40,5.585054832495515e-06,7.790885981807107e-05,0.0003633002669881696,0.0
41,6.7318675223986e-08,0.00012014141044571722,0.000339262725249149,0.0
42,0.0,0.00015325140261890298,0.00033287059533158153,0.0
43,0.0,0.00016201853538237374,0.0003509384219899866,0.0
44,0.0,0.0001559708083595265,0.00036791927501755617,0.0
45,0.0,0.00014827561665328262,0.0003892164030096043,0.0
46,0.0,0.00013816343008368087,0.0006287791893474648,0.0
47,0.0,0.00011923522828116732,0.0007393339174543038,0.0
48,0.0,9.852503221349647e-05,0.0007705452444126623,0.0
49,0.0,8.457899484335746e-05,0.0006265535596004,0.0
50,0.0,7.871761871328796e-05,0.0004720266798688749,0.0
51,0.0,7.816180116971022e-05,0.00047622949228584246,0.0
52,0.0,7.81348534267166e-05,0.00047132612617312153,8.516701430874353e-05
53,0.0,8.312712706636742e-05,0.00046887251533953787,0.000350695027903022
54,0.0,9.832965377748863e-05,0.00048286147817876515,0.0003596528096563338
55,0.0,0.00010481758930312826,0.00047833242822294103,0.0003649327943168666
56,0.0,9.439848963543804e-05,0.0004649940126842038,0.00037667259498762616
57,0.0,9.383255838923609e-05,0.0004334319916792556,0.0003961254500184226
58,8.362875268130737e-08,9.052234355766696e-05,0.0003931488588056236,0.00037177453950161104
59,5.553033480350896e-06,9.97462742374063e-05,0.00036641210522620426,0.0
60,2.0361478945728912e-05,8.539335058478517e-05,0.000342823802149594,0.0
61,1.405798467478565e-05,8.439519596078131e-05,0.00030753533670531527,0.0
62,1.9172993036004865e-05,7.127025828827373e-05,0.0002171189473307126,0.0
63,2.1389593759940075e-05,7.970846030154074e-05,0.00017486819954433278,0.0
64,1.09723746292787e-05,9.440844733151804e-05,0.0002536372644263214,0.0
65,6.7318675223986e-08,0.00012750593729650078,0.00029075333471903427,0.0
66,0.0,0.00014724201483695248,0.000273975645153987,0.0
67,0.0,0.00015585206366882498,0.00027176008927399153,0.0
68,0.0,0.0001499175237985405,0.0002801960506097633,0.0
69,0.0,0.0001529920413421668,0.00029873814329381887,0.0
70,0.0,0.00013488914990295104,0.0003290266768537256,0.0
71,0.0,0.00011782041449584882,0.00036220995576762905,0.0
72,0.0,0.00010309285941548887,0.0003934679460600872,0.0
73,0.0,9.258954752442726e-05,0.0004259831380012629,0.0
74,0.0,8.509439718594361e-05,0.0004374245687735465,7.979021751762267e-05
75,0.0,8.316418396924238e-05,0.00043801428166233617,0.0040320294869919246
76,0.0,8.426234994303481e-05,0.00045286255439047466,0.0
77,0.0,8.695723505731999e-05,0.00044899691331033254,0.0
78,0.0,9.329021613394422e-05,0.000464461873217829,0.0
79,0.0,0.00010364194753506712,0.00047058324436224605,0.0
80,0.0,0.00010360489284143778,0.00048772057380858477,0.0
81,0.0,0.00011498067934845028,0.00048281094561157274,0.00239370652552868
82,0.0,0.00010439651228205985,0.0004741926570392824,0.0017689512501048283
83,8.246537714922207e-07,0.00010864871801680737,0.00047363282104981286,0.0
84,6.1629206916806745e-06,9.893914894819454e-05,0.00043860394621990866,0.0
85,9.646170311671613e-06,9.560070574095766e-05,0.0004157993839826796,0.0
86,1.1107199773104479e-05,8.890441549718733e-05,0.0004068985447321903,0.0
87,9.879012385055116e-06,9.426301500901088e-05,0.00040882278648123635,0.0
88,4.430487077059204e-06,0.00010433365821341245,0.0004089142756512783,0.0
89,6.7318675223986e-08,0.0001428571874973455,0.00039111945288784175,0.0
90,0.0,0.0001660704794368188,0.00039059614709126863,0.0
91,0.0,0.00016344819906699134,0.00038893790941790763,0.0023664650813985965
92,0.0,0.00015564314138311018,0.0003935144343075138,0.003296872211132422
93,0.0,0.0001436711063931992,0.00040053102543510485,0.00038626976235064584
