hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016843,0,0
62,0,0,0.180134,0,0,0,0,0,0,0,0,0,0,0.358204,0,0
63,0,0,0.374717,0,0,0,0,0,0,0,0,0,0,0.38773,0,0
64,0,0,0.379887,0,0,0,0,0,0,0,0,0,0,0.244998,0,2.053796
65,0,0.268274,0,0,0,0,0,0,0,0,0.255323,0.256567,0,0,0,0
66,0,0.379513,0,0,0,0,0,0,0,0,0.375708,0.377542,0,0,0,0
67,0,0.273783,0,0,0,0,0,0,0,0,0.328557,0.298743,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0.039292,0,0,0,0,0,0,0,0,0,0,0,0
71,0.164587,0,0,0.353747,0,0,0,0,0,0,0,0,0,0,0,0
72,0.361046,0,0,0.378787,0,0,0,0,0,0,0,0,0,0,0,0
73,0.382719,0,0,0.251288,0,0,0,0,0,0,0,0,0,0,0,0
74,0.149286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0.005467,0.005539,0,0,0.005551,0.00554,0,0,0.075,0,0,0
76,2.381427,2.970232,3.193375,2.273241,0.305761,0.314082,0.31982,0.317116,0.317169,0.316729,2.89556,2.932491,3.789966,3.459059,0.327164,3.999615
77,0,0,0,0,0.330389,0.340023,0.350173,0.344679,0.344396,0.344054,0,0,0,0,0.35541,0
78,0,0,0,0,0.352708,0.364428,0.377066,0.371713,0.367701,0.367582,0,0,0,0,0.38217,0
79,0,0,0,0,0.37246,0.385603,0.338595,0.394212,0.387317,0.386806,0,0,0,0,0.265894,0
80,0,0,0,0,0.38957,0.170153,0,0.03933,0.124354,0.131247,0,0,0,0,0,0
81,0,0,0,0,0.191212,0,0,0,0,0,0,0,0,0,0,0
82,2.85,2.475,2.325,2.4,0.129139,0.136589,0.13328,0.138197,0.135897,0.135481,2.4,2.4,2.25,2.7,0.131428,2.85
83,1.647891,1.901221,1.643224,1.874245,0.321907,0.329016,0.337799,0.333809,0.326422,0.324799,1.859919,1.91584,1.662752,1.666397,0.346129,1.867811
84,0,0,0,0,0.350583,0.359333,0.372141,0.3656,0.355051,0.35276,0,0,0,0,0.377611,0
85,0,0,0,0,0.380926,0.390997,0.345733,0.39861,0.385703,0.38234,0,0,0,0,0.276435,0
86,0,0,0,0,0.225432,0.113796,0,0.029465,0.18512,0.226394,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2.233746,2.221549,2.223058,2.149479,2.06865,1.9953,1.995538,1.99441,1.992934,1.992331,2.223742,2.223043,2.224394,2.222424,1.850625,5.7
93,3.612995,3.321259,3.174719,3.099818,3.176287,2.661765,2.451236,2.448134,2.444417,2.516597,3.172149,3.170645,3.098944,4.151488,1.700014,3.428199
